[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.18 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.18
Detected kernel version: 5.18.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800008e96058, type=OBJECT, size=0xe18)
[D] compat_sys_call_table[211]: Symbol("__arm64_sys_getresgid" at 0xffff8000080ae0d0, type=FUNC, size=0x1a4)
[D] compat_sys_call_table[212]: Symbol("__arm64_sys_chown" at 0xffff800008309b30, type=FUNC, size=0x3c)
[D] compat_sys_call_table[213]: Symbol("__arm64_sys_setuid" at 0xffff8000080ad760, type=FUNC, size=0x20)
[D] compat_sys_call_table[214]: Symbol("__arm64_sys_setgid" at 0xffff8000080ad2f0, type=FUNC, size=0x20)
[D] compat_sys_call_table[215]: Symbol("__arm64_sys_setfsuid" at 0xffff8000080ae364, type=FUNC, size=0x20)
[D] compat_sys_call_table[216]: Symbol("__arm64_sys_setfsgid" at 0xffff8000080ae474, type=FUNC, size=0x20)
[D] compat_sys_call_table[217]: Symbol("__arm64_sys_getdents64" at 0xffff8000083281e0, type=FUNC, size=0x16c)
[D] compat_sys_call_table[218]: Symbol("__arm64_sys_pivot_root" at 0xffff80000833f150, type=FUNC, size=0x4ec)
[D] compat_sys_call_table[219]: Symbol("__arm64_sys_mincore" at 0xffff80000828d284, type=FUNC, size=0x320)
[D] compat_sys_call_table[220]: Symbol("__arm64_sys_madvise" at 0xffff8000082b5074, type=FUNC, size=0x38)
[D] compat_sys_call_table[221]: Symbol("__arm64_compat_sys_fcntl64" at 0xffff800008325180, type=FUNC, size=0x30)
[D] compat_sys_call_table[222]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[223]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[224]: Symbol("__arm64_sys_gettid" at 0xffff8000080ae4c0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[225]: Symbol("__arm64_compat_sys_aarch32_readahead" at 0xffff800008029450, type=FUNC, size=0x34)
[D] compat_sys_call_table[226]: Symbol("__arm64_sys_setxattr" at 0xffff800008344224, type=FUNC, size=0x38)
[D] compat_sys_call_table[227]: Symbol("__arm64_sys_lsetxattr" at 0xffff800008344260, type=FUNC, size=0x38)
[D] compat_sys_call_table[228]: Symbol("__arm64_sys_fsetxattr" at 0xffff8000083442a0, type=FUNC, size=0xe8)
[D] compat_sys_call_table[229]: Symbol("__arm64_sys_getxattr" at 0xffff800008344390, type=FUNC, size=0x30)
[D] compat_sys_call_table[230]: Symbol("__arm64_sys_lgetxattr" at 0xffff8000083443c0, type=FUNC, size=0x30)
[D] compat_sys_call_table[231]: Symbol("__arm64_sys_fgetxattr" at 0xffff8000083443f0, type=FUNC, size=0xcc)
[D] compat_sys_call_table[232]: Symbol("__arm64_sys_listxattr" at 0xffff8000083444c0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[233]: Symbol("__arm64_sys_llistxattr" at 0xffff8000083444f0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[234]: Symbol("__arm64_sys_flistxattr" at 0xffff800008344520, type=FUNC, size=0xc0)
[D] compat_sys_call_table[235]: Symbol("__arm64_sys_removexattr" at 0xffff8000083445e0, type=FUNC, size=0x28)
[D] compat_sys_call_table[236]: Symbol("__arm64_sys_lremovexattr" at 0xffff800008344610, type=FUNC, size=0x28)
[D] compat_sys_call_table[237]: Symbol("__arm64_sys_fremovexattr" at 0xffff800008344640, type=FUNC, size=0xc8)
[D] compat_sys_call_table[238]: Symbol("__arm64_sys_tkill" at 0xffff8000080a9934, type=FUNC, size=0x3c)
[D] compat_sys_call_table[239]: Symbol("__arm64_sys_sendfile64" at 0xffff80000830dcf0, type=FUNC, size=0x15c)
[D] compat_sys_call_table[240]: Symbol("__arm64_sys_futex_time32" at 0xffff80000814fd60, type=FUNC, size=0x190)
[D] compat_sys_call_table[241]: Symbol("__arm64_compat_sys_sched_setaffinity" at 0xffff800008161480, type=FUNC, size=0x9c)
[D] compat_sys_call_table[242]: Symbol("__arm64_compat_sys_sched_getaffinity" at 0xffff8000081616c0, type=FUNC, size=0xc4)
[D] compat_sys_call_table[243]: Symbol("__arm64_compat_sys_io_setup" at 0xffff80000837b410, type=FUNC, size=0x15c)
[D] compat_sys_call_table[244]: Symbol("__arm64_sys_io_destroy" at 0xffff80000837b570, type=FUNC, size=0xcc)
[D] compat_sys_call_table[245]: Symbol("__arm64_sys_io_getevents_time32" at 0xffff80000837bdc0, type=FUNC, size=0xd8)
[D] compat_sys_call_table[246]: Symbol("__arm64_compat_sys_io_submit" at 0xffff80000837b7e4, type=FUNC, size=0x1d0)
[D] compat_sys_call_table[247]: Symbol("__arm64_sys_io_cancel" at 0xffff80000837b9b4, type=FUNC, size=0x17c)
[D] compat_sys_call_table[248]: Symbol("__arm64_sys_exit_group" at 0xffff800008098910, type=FUNC, size=0x18)
[D] compat_sys_call_table[249]: Symbol("__arm64_compat_sys_lookup_dcookie" at 0xffff8000080beb84, type=FUNC, size=0x14)
[D] compat_sys_call_table[250]: Symbol("__arm64_sys_epoll_create" at 0xffff800008370a44, type=FUNC, size=0xe8)
[D] compat_sys_call_table[251]: Symbol("__arm64_sys_epoll_ctl" at 0xffff800008371690, type=FUNC, size=0xf4)
[D] compat_sys_call_table[252]: Symbol("__arm64_sys_epoll_wait" at 0xffff800008371784, type=FUNC, size=0xf0)
[D] compat_sys_call_table[253]: Symbol("__arm64_sys_remap_file_pages" at 0xffff800008294980, type=FUNC, size=0x27c)
[D] compat_sys_call_table[254]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[255]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[256]: Symbol("__arm64_sys_set_tid_address" at 0xffff800008090150, type=FUNC, size=0x3c)
[D] compat_sys_call_table[257]: Symbol("__arm64_compat_sys_timer_create" at 0xffff800008143420, type=FUNC, size=0xb8)
[D] compat_sys_call_table[258]: Symbol("__arm64_sys_timer_settime32" at 0xffff800008143770, type=FUNC, size=0xe0)
[D] compat_sys_call_table[259]: Symbol("__arm64_sys_timer_gettime32" at 0xffff800008143570, type=FUNC, size=0x8c)
[D] compat_sys_call_table[260]: Symbol("__arm64_sys_timer_getoverrun" at 0xffff800008143600, type=FUNC, size=0x8c)
[D] compat_sys_call_table[261]: Symbol("__arm64_sys_timer_delete" at 0xffff800008143850, type=FUNC, size=0x108)
[D] compat_sys_call_table[262]: Symbol("__arm64_sys_clock_settime32" at 0xffff800008143da0, type=FUNC, size=0xe0)
[D] compat_sys_call_table[263]: Symbol("__arm64_sys_clock_gettime32" at 0xffff800008143e80, type=FUNC, size=0xe4)
[D] compat_sys_call_table[264]: Symbol("__arm64_sys_clock_getres_time32" at 0xffff800008143f90, type=FUNC, size=0xec)
[D] compat_sys_call_table[265]: Symbol("__arm64_sys_clock_nanosleep_time32" at 0xffff8000081441c0, type=FUNC, size=0x138)
[D] compat_sys_call_table[266]: Symbol("__arm64_compat_sys_aarch32_statfs64" at 0xffff8000080292b0, type=FUNC, size=0x38)
[D] compat_sys_call_table[267]: Symbol("__arm64_compat_sys_aarch32_fstatfs64" at 0xffff8000080292f0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[268]: Symbol("__arm64_sys_tgkill" at 0xffff8000080a98f0, type=FUNC, size=0x44)
[D] compat_sys_call_table[269]: Symbol("__arm64_sys_utimes_time32" at 0xffff8000083550f0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[270]: Symbol("__arm64_compat_sys_aarch32_fadvise64_64" at 0xffff800008029484, type=FUNC, size=0x48)
[D] compat_sys_call_table[271]: Symbol("__arm64_sys_pciconfig_iobase" at 0xffff8000080bfb44, type=FUNC, size=0x14)
[D] compat_sys_call_table[272]: Symbol("__arm64_sys_pciconfig_read" at 0xffff8000086d88d0, type=FUNC, size=0x364)
[D] compat_sys_call_table[273]: Symbol("__arm64_sys_pciconfig_write" at 0xffff8000086d8c34, type=FUNC, size=0x208)
[D] compat_sys_call_table[274]: Symbol("__arm64_compat_sys_mq_open" at 0xffff800008535f90, type=FUNC, size=0x120)
[D] compat_sys_call_table[275]: Symbol("__arm64_sys_mq_unlink" at 0xffff800008535b70, type=FUNC, size=0x188)
[D] compat_sys_call_table[276]: Symbol("__arm64_sys_mq_timedsend_time32" at 0xffff800008536190, type=FUNC, size=0xc0)
[D] compat_sys_call_table[277]: Symbol("__arm64_sys_mq_timedreceive_time32" at 0xffff800008536250, type=FUNC, size=0xc0)
[D] compat_sys_call_table[278]: Symbol("__arm64_compat_sys_mq_notify" at 0xffff8000085360b0, type=FUNC, size=0xb0)
[D] compat_sys_call_table[279]: Symbol("__arm64_compat_sys_mq_getsetattr" at 0xffff800008536160, type=FUNC, size=0x2c)
[D] compat_sys_call_table[280]: Symbol("__arm64_compat_sys_waitid" at 0xffff800008098e50, type=FUNC, size=0x38)
[D] compat_sys_call_table[281]: Symbol("__arm64_sys_socket" at 0xffff800008cae550, type=FUNC, size=0x34)
[D] compat_sys_call_table[282]: Symbol("__arm64_sys_bind" at 0xffff800008cae990, type=FUNC, size=0x34)
[D] compat_sys_call_table[283]: Symbol("__arm64_sys_connect" at 0xffff800008caef70, type=FUNC, size=0x34)
[D] compat_sys_call_table[284]: Symbol("__arm64_sys_listen" at 0xffff800008caea70, type=FUNC, size=0x30)
[D] compat_sys_call_table[285]: Symbol("__arm64_sys_accept" at 0xffff800008caedd4, type=FUNC, size=0x34)
[D] compat_sys_call_table[286]: Symbol("__arm64_sys_getsockname" at 0xffff800008caf084, type=FUNC, size=0x30)
[D] compat_sys_call_table[287]: Symbol("__arm64_sys_getpeername" at 0xffff800008caf1a0, type=FUNC, size=0x30)
[D] compat_sys_call_table[288]: Symbol("__arm64_sys_socketpair" at 0xffff800008cae874, type=FUNC, size=0x38)
[D] compat_sys_call_table[289]: Symbol("__arm64_sys_send" at 0xffff800008caf380, type=FUNC, size=0x3c)
[D] compat_sys_call_table[290]: Symbol("__arm64_sys_sendto" at 0xffff800008caf340, type=FUNC, size=0x3c)
[D] compat_sys_call_table[291]: Symbol("__arm64_compat_sys_recv" at 0xffff800008d2e360, type=FUNC, size=0x44)
[D] compat_sys_call_table[292]: Symbol("__arm64_compat_sys_recvfrom" at 0xffff800008d2e3a4, type=FUNC, size=0x40)
[D] compat_sys_call_table[293]: Symbol("__arm64_sys_shutdown" at 0xffff800008cafaa0, type=FUNC, size=0x30)
[D] compat_sys_call_table[294]: Symbol("__arm64_sys_setsockopt" at 0xffff800008caf750, type=FUNC, size=0x3c)
[D] compat_sys_call_table[295]: Symbol("__arm64_sys_getsockopt" at 0xffff800008caf9a0, type=FUNC, size=0x38)
[D] compat_sys_call_table[296]: Symbol("__arm64_compat_sys_sendmsg" at 0xffff800008d2e2b0, type=FUNC, size=0x34)
[D] compat_sys_call_table[297]: Symbol("__arm64_compat_sys_recvmsg" at 0xffff800008d2e324, type=FUNC, size=0x34)
[D] compat_sys_call_table[298]: Symbol("__arm64_sys_semop" at 0xffff80000852fc70, type=FUNC, size=0x34)
[D] compat_sys_call_table[299]: Symbol("__arm64_sys_semget" at 0xffff80000852e7a0, type=FUNC, size=0x94)
[D] compat_sys_call_table[300]: Symbol("__arm64_compat_sys_old_semctl" at 0xffff80000852ea34, type=FUNC, size=0x3c)
[D] compat_sys_call_table[301]: Symbol("__arm64_compat_sys_msgsnd" at 0xffff80000852b740, type=FUNC, size=0x34)
[D] compat_sys_call_table[302]: Symbol("__arm64_compat_sys_msgrcv" at 0xffff80000852b810, type=FUNC, size=0x40)
[D] compat_sys_call_table[303]: Symbol("__arm64_sys_msgget" at 0xffff80000852b4c0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[304]: Symbol("__arm64_compat_sys_old_msgctl" at 0xffff80000852b5d0, type=FUNC, size=0x34)
[D] compat_sys_call_table[305]: Symbol("__arm64_compat_sys_shmat" at 0xffff800008532b34, type=FUNC, size=0x74)
[D] compat_sys_call_table[306]: Symbol("__arm64_sys_shmdt" at 0xffff800008532d60, type=FUNC, size=0x20)
[D] compat_sys_call_table[307]: Symbol("__arm64_sys_shmget" at 0xffff8000085324a4, type=FUNC, size=0x84)
[D] compat_sys_call_table[308]: Symbol("__arm64_compat_sys_old_shmctl" at 0xffff8000085325c0, type=FUNC, size=0x34)
[D] compat_sys_call_table[309]: Symbol("__arm64_sys_add_key" at 0xffff80000853b5e4, type=FUNC, size=0x264)
[D] compat_sys_call_table[310]: Symbol("__arm64_sys_request_key" at 0xffff80000853b850, type=FUNC, size=0x1c4)
[D] compat_sys_call_table[311]: Symbol("__arm64_compat_sys_keyctl" at 0xffff800008540960, type=FUNC, size=0x240)
[D] compat_sys_call_table[312]: Symbol("__arm64_sys_semtimedop_time32" at 0xffff80000852fbc0, type=FUNC, size=0xa8)
[D] compat_sys_call_table[313]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[314]: Symbol("__arm64_sys_ioprio_set" at 0xffff8000085881c0, type=FUNC, size=0x2c4)
[D] compat_sys_call_table[315]: Symbol("__arm64_sys_ioprio_get" at 0xffff8000085884d4, type=FUNC, size=0x3c0)
[D] compat_sys_call_table[316]: Symbol("__arm64_sys_inotify_init" at 0xffff80000836afe4, type=FUNC, size=0x24)
[D] compat_sys_call_table[317]: Symbol("__arm64_sys_inotify_add_watch" at 0xffff80000836b010, type=FUNC, size=0x3cc)
[D] compat_sys_call_table[318]: Symbol("__arm64_sys_inotify_rm_watch" at 0xffff80000836b3e0, type=FUNC, size=0xfc)
[D] compat_sys_call_table[319]: Symbol("__arm64_sys_mbind" at 0xffff8000082cd360, type=FUNC, size=0x370)
[D] compat_sys_call_table[320]: Symbol("__arm64_sys_get_mempolicy" at 0xffff8000082cb380, type=FUNC, size=0x5e8)
[D] compat_sys_call_table[321]: Symbol("__arm64_sys_set_mempolicy" at 0xffff8000082cb054, type=FUNC, size=0xb4)
[D] compat_sys_call_table[322]: Symbol("__arm64_compat_sys_openat" at 0xffff80000830a6a4, type=FUNC, size=0xa4)
[D] compat_sys_call_table[323]: Symbol("__arm64_sys_mkdirat" at 0xffff800008322950, type=FUNC, size=0x7c)
[D] compat_sys_call_table[324]: Symbol("__arm64_sys_mknodat" at 0xffff800008322700, type=FUNC, size=0x5c)
[D] compat_sys_call_table[325]: Symbol("__arm64_sys_fchownat" at 0xffff800008309af0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[326]: Symbol("__arm64_sys_futimesat_time32" at 0xffff8000083550c4, type=FUNC, size=0x2c)
[D] compat_sys_call_table[327]: Symbol("__arm64_sys_fstatat64" at 0xffff800008314d70, type=FUNC, size=0x30)
[D] compat_sys_call_table[328]: Symbol("__arm64_sys_unlinkat" at 0xffff800008322f30, type=FUNC, size=0x80)
[D] compat_sys_call_table[329]: Symbol("__arm64_sys_renameat" at 0xffff800008323b40, type=FUNC, size=0x70)
[D] compat_sys_call_table[330]: Symbol("__arm64_sys_linkat" at 0xffff800008323530, type=FUNC, size=0x80)
[D] compat_sys_call_table[331]: Symbol("__arm64_sys_symlinkat" at 0xffff8000083231a0, type=FUNC, size=0x68)
[D] compat_sys_call_table[332]: Symbol("__arm64_sys_readlinkat" at 0xffff800008314ca0, type=FUNC, size=0x34)
[D] compat_sys_call_table[333]: Symbol("__arm64_sys_fchmodat" at 0xffff8000083096e0, type=FUNC, size=0x34)
[D] compat_sys_call_table[334]: Symbol("__arm64_sys_faccessat" at 0xffff800008308fd4, type=FUNC, size=0x34)
[D] compat_sys_call_table[335]: Symbol("__arm64_compat_sys_pselect6_time32" at 0xffff80000832aac0, type=FUNC, size=0x16c)
[D] compat_sys_call_table[336]: Symbol("__arm64_compat_sys_ppoll_time32" at 0xffff80000832ac30, type=FUNC, size=0x130)
[D] compat_sys_call_table[337]: Symbol("__arm64_sys_unshare" at 0xffff800008090f80, type=FUNC, size=0x24)
[D] compat_sys_call_table[338]: Symbol("__arm64_compat_sys_set_robust_list" at 0xffff80000814fbc0, type=FUNC, size=0x34)
[D] compat_sys_call_table[339]: Symbol("__arm64_compat_sys_get_robust_list" at 0xffff80000814fbf4, type=FUNC, size=0x164)
[D] compat_sys_call_table[340]: Symbol("__arm64_sys_splice" at 0xffff800008353850, type=FUNC, size=0x338)
[D] compat_sys_call_table[341]: Symbol("__arm64_compat_sys_aarch32_sync_file_range2" at 0xffff8000080294d0, type=FUNC, size=0x48)
[D] compat_sys_call_table[342]: Symbol("__arm64_sys_tee" at 0xffff800008353e60, type=FUNC, size=0x104)
[D] compat_sys_call_table[343]: Symbol("__arm64_sys_vmsplice" at 0xffff800008353820, type=FUNC, size=0x30)
[D] compat_sys_call_table[344]: Symbol("__arm64_sys_move_pages" at 0xffff8000082e24f4, type=FUNC, size=0x734)
[D] compat_sys_call_table[345]: Symbol("__arm64_sys_getcpu" at 0xffff8000080b0570, type=FUNC, size=0x120)
[D] compat_sys_call_table[346]: Symbol("__arm64_compat_sys_epoll_pwait" at 0xffff800008371a60, type=FUNC, size=0x110)
[D] compat_sys_call_table[347]: Symbol("__arm64_compat_sys_kexec_load" at 0xffff80000815fc90, type=FUNC, size=0x20c)
[D] compat_sys_call_table[348]: Symbol("__arm64_sys_utimensat_time32" at 0xffff800008354ff0, type=FUNC, size=0xd4)
[D] compat_sys_call_table[349]: Symbol("__arm64_compat_sys_signalfd" at 0xffff800008372a60, type=FUNC, size=0x90)
[D] compat_sys_call_table[350]: Symbol("__arm64_sys_timerfd_create" at 0xffff800008373954, type=FUNC, size=0x184)
[D] compat_sys_call_table[351]: Symbol("__arm64_sys_eventfd" at 0xffff8000083749d0, type=FUNC, size=0x28)
[D] compat_sys_call_table[352]: Symbol("__arm64_compat_sys_aarch32_fallocate" at 0xffff800008029520, type=FUNC, size=0x48)
[D] compat_sys_call_table[353]: Symbol("__arm64_sys_timerfd_settime32" at 0xffff800008373c30, type=FUNC, size=0xbc)
[D] compat_sys_call_table[354]: Symbol("__arm64_sys_timerfd_gettime32" at 0xffff800008373cf0, type=FUNC, size=0x8c)
[D] compat_sys_call_table[355]: Symbol("__arm64_compat_sys_signalfd4" at 0xffff8000083729d0, type=FUNC, size=0x90)
[D] compat_sys_call_table[356]: Symbol("__arm64_sys_eventfd2" at 0xffff8000083749a0, type=FUNC, size=0x30)
[D] compat_sys_call_table[357]: Symbol("__arm64_sys_epoll_create1" at 0xffff800008370940, type=FUNC, size=0x104)
[D] compat_sys_call_table[358]: Symbol("__arm64_sys_dup3" at 0xffff800008337214, type=FUNC, size=0x34)
[D] compat_sys_call_table[359]: Symbol("__arm64_sys_pipe2" at 0xffff80000831a310, type=FUNC, size=0x30)
[D] compat_sys_call_table[360]: Symbol("__arm64_sys_inotify_init1" at 0xffff80000836afc0, type=FUNC, size=0x24)
[D] compat_sys_call_table[361]: Symbol("__arm64_compat_sys_preadv" at 0xffff80000830da70, type=FUNC, size=0x40)
[D] compat_sys_call_table[362]: Symbol("__arm64_compat_sys_pwritev" at 0xffff80000830db10, type=FUNC, size=0x40)
[D] compat_sys_call_table[363]: Symbol("__arm64_compat_sys_rt_tgsigqueueinfo" at 0xffff8000080a9c34, type=FUNC, size=0xd8)
[D] compat_sys_call_table[364]: Symbol("__arm64_sys_perf_event_open" at 0xffff8000082306f0, type=FUNC, size=0x38)
[D] compat_sys_call_table[365]: Symbol("__arm64_compat_sys_recvmmsg_time32" at 0xffff800008d2e424, type=FUNC, size=0x40)
[D] compat_sys_call_table[366]: Symbol("__arm64_sys_accept4" at 0xffff800008caeda0, type=FUNC, size=0x34)
[D] compat_sys_call_table[367]: Symbol("__arm64_sys_fanotify_init" at 0xffff80000836edf0, type=FUNC, size=0x2f0)
[D] compat_sys_call_table[368]: Symbol("__arm64_compat_sys_fanotify_mark" at 0xffff80000836f120, type=FUNC, size=0x44)
[D] compat_sys_call_table[369]: Symbol("__arm64_sys_prlimit64" at 0xffff8000080af3e0, type=FUNC, size=0x344)
[D] compat_sys_call_table[370]: Symbol("__arm64_sys_name_to_handle_at" at 0xffff8000083a4570, type=FUNC, size=0x300)
[D] compat_sys_call_table[371]: Symbol("__arm64_compat_sys_open_by_handle_at" at 0xffff8000083a48a0, type=FUNC, size=0x30)
[D] compat_sys_call_table[372]: Symbol("__arm64_sys_clock_adjtime32" at 0xffff800008143f64, type=FUNC, size=0x2c)
[D] compat_sys_call_table[373]: Symbol("__arm64_sys_syncfs" at 0xffff8000083544b0, type=FUNC, size=0xa0)
[D] compat_sys_call_table[374]: Symbol("__arm64_compat_sys_sendmmsg" at 0xffff800008d2e2e4, type=FUNC, size=0x40)
[D] compat_sys_call_table[375]: Symbol("__arm64_sys_setns" at 0xffff8000080c0ad0, type=FUNC, size=0x5a8)
[D] compat_sys_call_table[376]: Symbol("__arm64_sys_process_vm_readv" at 0xffff8000082a59b0, type=FUNC, size=0x38)
[D] compat_sys_call_table[377]: Symbol("__arm64_sys_process_vm_writev" at 0xffff8000082a59f0, type=FUNC, size=0x38)
[D] compat_sys_call_table[378]: Symbol("__arm64_sys_kcmp" at 0xffff800008130d20, type=FUNC, size=0x55c)
[D] compat_sys_call_table[379]: Symbol("__arm64_sys_finit_module" at 0xffff80000815b640, type=FUNC, size=0x30)
[D] compat_sys_call_table[380]: Symbol("__arm64_sys_sched_setattr" at 0xffff8000080d2454, type=FUNC, size=0x408)
[D] compat_sys_call_table[381]: Symbol("__arm64_sys_sched_getattr" at 0xffff8000080d2a20, type=FUNC, size=0x1f4)
[D] compat_sys_call_table[382]: Symbol("__arm64_sys_renameat2" at 0xffff800008323ac0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[383]: Symbol("__arm64_sys_seccomp" at 0xffff80000818ca94, type=FUNC, size=0x30)
[D] compat_sys_call_table[384]: Symbol("__arm64_sys_getrandom" at 0xffff8000088dd714, type=FUNC, size=0x90)
[D] compat_sys_call_table[385]: Symbol("__arm64_sys_memfd_create" at 0xffff800008306e50, type=FUNC, size=0x298)
[D] compat_sys_call_table[386]: Symbol("__arm64_sys_bpf" at 0xffff8000081d7090, type=FUNC, size=0x38)
[D] compat_sys_call_table[387]: Symbol("__arm64_compat_sys_execveat" at 0xffff800008318094, type=FUNC, size=0x64)
[D] compat_sys_call_table[388]: Symbol("__arm64_sys_userfaultfd" at 0xffff800008377b20, type=FUNC, size=0x17c)
[D] compat_sys_call_table[389]: Symbol("__arm64_sys_membarrier" at 0xffff8000080f3df0, type=FUNC, size=0x320)
[D] compat_sys_call_table[390]: Symbol("__arm64_sys_mlock2" at 0xffff80000828f020, type=FUNC, size=0x58)
[D] compat_sys_call_table[391]: Symbol("__arm64_sys_copy_file_range" at 0xffff80000830e7c0, type=FUNC, size=0x32c)
[D] compat_sys_call_table[392]: Symbol("__arm64_compat_sys_preadv2" at 0xffff80000830dab0, type=FUNC, size=0x58)
[D] compat_sys_call_table[393]: Symbol("__arm64_compat_sys_pwritev2" at 0xffff80000830db50, type=FUNC, size=0x58)
[D] compat_sys_call_table[394]: Symbol("__arm64_sys_pkey_mprotect" at 0xffff8000080bfab4, type=FUNC, size=0x14)
[D] compat_sys_call_table[395]: Symbol("__arm64_sys_pkey_alloc" at 0xffff8000080bfad0, type=FUNC, size=0x14)
[D] compat_sys_call_table[396]: Symbol("__arm64_sys_pkey_free" at 0xffff8000080bfae4, type=FUNC, size=0x14)
[D] compat_sys_call_table[397]: Symbol("__arm64_sys_statx" at 0xffff800008314e60, type=FUNC, size=0x90)
[D] compat_sys_call_table[398]: Symbol("__arm64_sys_rseq" at 0xffff80000823aef0, type=FUNC, size=0x1e0)
[D] compat_sys_call_table[399]: Symbol("__arm64_compat_sys_io_pgetevents" at 0xffff80000837bea0, type=FUNC, size=0x1b8)
[D] compat_sys_call_table[400]: Symbol("__arm64_sys_migrate_pages" at 0xffff8000082cb110, type=FUNC, size=0x268)
[D] compat_sys_call_table[401]: Symbol("__arm64_sys_kexec_file_load" at 0xffff8000081604a4, type=FUNC, size=0x3b8)
[D] compat_sys_call_table[402]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[403]: Symbol("__arm64_sys_clock_gettime" at 0xffff800008143b10, type=FUNC, size=0xe4)
[D] compat_sys_call_table[404]: Symbol("__arm64_sys_clock_settime" at 0xffff800008143a30, type=FUNC, size=0xe0)
[D] compat_sys_call_table[405]: Symbol("__arm64_sys_clock_adjtime" at 0xffff800008143c80, type=FUNC, size=0x2c)
[D] compat_sys_call_table[406]: Symbol("__arm64_sys_clock_getres" at 0xffff800008143cb0, type=FUNC, size=0xec)
[D] compat_sys_call_table[407]: Symbol("__arm64_sys_clock_nanosleep" at 0xffff800008144080, type=FUNC, size=0x138)
[D] compat_sys_call_table[408]: Symbol("__arm64_sys_timer_gettime" at 0xffff8000081434e0, type=FUNC, size=0x8c)
[D] compat_sys_call_table[409]: Symbol("__arm64_sys_timer_settime" at 0xffff800008143690, type=FUNC, size=0xe0)
[D] compat_sys_call_table[410]: Symbol("__arm64_sys_timerfd_gettime" at 0xffff800008373ba0, type=FUNC, size=0x8c)
[D] compat_sys_call_table[411]: Symbol("__arm64_sys_timerfd_settime" at 0xffff800008373ae0, type=FUNC, size=0xbc)
[D] compat_sys_call_table[412]: Symbol("__arm64_sys_utimensat" at 0xffff800008354de0, type=FUNC, size=0xd0)
[D] compat_sys_call_table[413]: Symbol("__arm64_compat_sys_pselect6_time64" at 0xffff80000832a950, type=FUNC, size=0x16c)
[D] compat_sys_call_table[414]: Symbol("__arm64_compat_sys_ppoll_time64" at 0xffff80000832ad60, type=FUNC, size=0x130)
[D] compat_sys_call_table[415]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[416]: Symbol("__arm64_sys_io_pgetevents" at 0xffff80000837bc00, type=FUNC, size=0x1b8)
[D] compat_sys_call_table[417]: Symbol("__arm64_compat_sys_recvmmsg_time64" at 0xffff800008d2e3e4, type=FUNC, size=0x40)
[D] compat_sys_call_table[418]: Symbol("__arm64_sys_mq_timedsend" at 0xffff800008535d00, type=FUNC, size=0xc0)
[D] compat_sys_call_table[419]: Symbol("__arm64_sys_mq_timedreceive" at 0xffff800008535dc0, type=FUNC, size=0xc0)
[D] compat_sys_call_table[420]: Symbol("__arm64_sys_semtimedop" at 0xffff80000852fa60, type=FUNC, size=0xa8)
[D] compat_sys_call_table[421]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time64" at 0xffff8000080a92b0, type=FUNC, size=0xdc)
[D] compat_sys_call_table[422]: Symbol("__arm64_sys_futex" at 0xffff80000814f9f4, type=FUNC, size=0x190)
[D] compat_sys_call_table[423]: Symbol("__arm64_sys_sched_rr_get_interval" at 0xffff8000080d33f4, type=FUNC, size=0x7c)
[D] compat_sys_call_table[424]: Symbol("__arm64_sys_pidfd_send_signal" at 0xffff8000080a9680, type=FUNC, size=0x270)
[D] compat_sys_call_table[425]: Symbol("__arm64_sys_io_uring_setup" at 0xffff80000838ea00, type=FUNC, size=0x2c)
