[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.12 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.12
Detected kernel version: 6.12.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc1400bb8, type=OBJECT, size=0x73c)
[D] sys_call_table[237]: Symbol("__riscv_sys_set_mempolicy" at 0xc021948a, type=FUNC, size=0x24)
[D] sys_call_table[238]: Symbol("__riscv_sys_migrate_pages" at 0xc021969c, type=FUNC, size=0x24)
[D] sys_call_table[239]: Symbol("__riscv_sys_move_pages" at 0xc0221364, type=FUNC, size=0x24)
[D] sys_call_table[240]: Symbol("__riscv_sys_rt_tgsigqueueinfo" at 0xc00242cc, type=FUNC, size=0x24)
[D] sys_call_table[241]: Symbol("__riscv_sys_perf_event_open" at 0xc018ce42, type=FUNC, size=0x24)
[D] sys_call_table[242]: Symbol("__riscv_sys_accept4" at 0xc06f8e4e, type=FUNC, size=0x24)
[D] sys_call_table[243]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[244]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[245]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[246]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[247]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[248]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[249]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[250]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[251]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[252]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[253]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[254]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[255]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[256]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[257]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[258]: Symbol("__riscv_sys_riscv_hwprobe" at 0xc0005e20, type=FUNC, size=0x24)
[D] sys_call_table[259]: Symbol("__riscv_sys_riscv_flush_icache" at 0xc0004fda, type=FUNC, size=0x24)
[D] sys_call_table[260]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[261]: Symbol("__riscv_sys_prlimit64" at 0xc00273a4, type=FUNC, size=0x24)
[D] sys_call_table[262]: Symbol("__riscv_sys_fanotify_init" at 0xc02849cc, type=FUNC, size=0x24)
[D] sys_call_table[263]: Symbol("__riscv_sys_fanotify_mark" at 0xc028553c, type=FUNC, size=0x26)
[D] sys_call_table[264]: Symbol("__riscv_sys_name_to_handle_at" at 0xc029da2e, type=FUNC, size=0x24)
[D] sys_call_table[265]: Symbol("__riscv_sys_open_by_handle_at" at 0xc029dcfc, type=FUNC, size=0x24)
[D] sys_call_table[266]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[267]: Symbol("__riscv_sys_syncfs" at 0xc026ffc6, type=FUNC, size=0x24)
[D] sys_call_table[268]: Symbol("__riscv_sys_setns" at 0xc003716e, type=FUNC, size=0x24)
[D] sys_call_table[269]: Symbol("__riscv_sys_sendmmsg" at 0xc06fa05c, type=FUNC, size=0x24)
[D] sys_call_table[270]: Symbol("__riscv_sys_process_vm_readv" at 0xc01f295c, type=FUNC, size=0x24)
[D] sys_call_table[271]: Symbol("__riscv_sys_process_vm_writev" at 0xc01f2994, type=FUNC, size=0x24)
[D] sys_call_table[272]: Symbol("__riscv_sys_kcmp" at 0xc009cd58, type=FUNC, size=0x24)
[D] sys_call_table[273]: Symbol("__riscv_sys_finit_module" at 0xc009a7bc, type=FUNC, size=0x24)
[D] sys_call_table[274]: Symbol("__riscv_sys_sched_setattr" at 0xc0060286, type=FUNC, size=0x24)
[D] sys_call_table[275]: Symbol("__riscv_sys_sched_getattr" at 0xc00605be, type=FUNC, size=0x24)
[D] sys_call_table[276]: Symbol("__riscv_sys_renameat2" at 0xc0247776, type=FUNC, size=0x24)
[D] sys_call_table[277]: Symbol("__riscv_sys_seccomp" at 0xc00ea768, type=FUNC, size=0x24)
[D] sys_call_table[278]: Symbol("__riscv_sys_getrandom" at 0xc0582aae, type=FUNC, size=0x24)
[D] sys_call_table[279]: Symbol("__riscv_sys_memfd_create" at 0xc022fc88, type=FUNC, size=0x24)
[D] sys_call_table[280]: Symbol("__riscv_sys_bpf" at 0xc0129fae, type=FUNC, size=0x24)
[D] sys_call_table[281]: Symbol("__riscv_sys_execveat" at 0xc023e2b4, type=FUNC, size=0x24)
[D] sys_call_table[282]: Symbol("__riscv_sys_userfaultfd" at 0xc028d932, type=FUNC, size=0x24)
[D] sys_call_table[283]: Symbol("__riscv_sys_membarrier" at 0xc006a5b0, type=FUNC, size=0x24)
[D] sys_call_table[284]: Symbol("__riscv_sys_mlock2" at 0xc01ddc8a, type=FUNC, size=0x24)
[D] sys_call_table[285]: Symbol("__riscv_sys_copy_file_range" at 0xc02369fa, type=FUNC, size=0x24)
[D] sys_call_table[286]: Symbol("__riscv_sys_preadv2" at 0xc0235f58, type=FUNC, size=0x24)
[D] sys_call_table[287]: Symbol("__riscv_sys_pwritev2" at 0xc02360ea, type=FUNC, size=0x24)
[D] sys_call_table[288]: Symbol("__riscv_sys_pkey_mprotect" at 0xc0036274, type=FUNC, size=0x10)
[D] sys_call_table[289]: Symbol("__riscv_sys_pkey_alloc" at 0xc0036284, type=FUNC, size=0x10)
[D] sys_call_table[290]: Symbol("__riscv_sys_pkey_free" at 0xc0036294, type=FUNC, size=0x10)
[D] sys_call_table[291]: Symbol("__riscv_sys_statx" at 0xc023ba20, type=FUNC, size=0x24)
[D] sys_call_table[292]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[293]: Symbol("__riscv_sys_rseq" at 0xc01954ca, type=FUNC, size=0x24)
[D] sys_call_table[294]: Symbol("__riscv_sys_kexec_file_load" at 0xc0036324, type=FUNC, size=0x10)
[D] sys_call_table[295]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[296]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[297]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[298]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[299]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[300]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[301]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[302]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[303]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[304]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[305]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[306]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[307]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[308]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[309]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[310]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[311]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[312]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[313]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[314]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[315]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[316]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[317]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[318]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[319]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[320]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[321]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[322]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[323]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[324]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[325]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[326]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[327]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[328]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[329]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[330]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[331]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[332]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[333]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[334]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[335]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[336]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[337]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[338]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[339]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[340]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[341]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[342]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[343]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[344]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[345]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[346]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[347]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[348]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[349]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[350]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[351]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[352]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[353]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[354]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[355]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[356]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[357]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[358]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[359]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[360]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[361]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[362]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[363]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[364]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[365]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[366]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[367]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[368]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[369]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[370]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[371]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[372]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[373]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[374]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[375]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[376]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[377]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[378]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[379]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[380]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[381]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[382]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[383]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[384]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[385]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[386]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[387]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[388]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[389]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[390]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[391]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[392]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[393]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[394]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[395]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[396]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[397]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[398]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[399]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[400]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[401]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[402]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[403]: Symbol("__riscv_sys_clock_gettime" at 0xc00afd62, type=FUNC, size=0x24)
[D] sys_call_table[404]: Symbol("__riscv_sys_clock_settime" at 0xc00afc94, type=FUNC, size=0x24)
[D] sys_call_table[405]: Symbol("__riscv_sys_clock_adjtime" at 0xc00afe00, type=FUNC, size=0x24)
[D] sys_call_table[406]: Symbol("__riscv_sys_clock_getres" at 0xc00afeda, type=FUNC, size=0x24)
[D] sys_call_table[407]: Symbol("__riscv_sys_clock_nanosleep" at 0xc00b02be, type=FUNC, size=0x24)
[D] sys_call_table[408]: Symbol("__riscv_sys_timer_gettime" at 0xc00af57c, type=FUNC, size=0x24)
[D] sys_call_table[409]: Symbol("__riscv_sys_timer_settime" at 0xc00af8ee, type=FUNC, size=0x24)
[D] sys_call_table[410]: Symbol("__riscv_sys_timerfd_gettime" at 0xc028985e, type=FUNC, size=0x24)
[D] sys_call_table[411]: Symbol("__riscv_sys_timerfd_settime" at 0xc02897c8, type=FUNC, size=0x24)
[D] sys_call_table[412]: Symbol("__riscv_sys_utimensat" at 0xc027070a, type=FUNC, size=0x24)
[D] sys_call_table[413]: Symbol("__riscv_sys_pselect6" at 0xc024b8e8, type=FUNC, size=0x24)
[D] sys_call_table[414]: Symbol("__riscv_sys_ppoll" at 0xc024bbee, type=FUNC, size=0x24)
[D] sys_call_table[415]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[416]: Symbol("__riscv_sys_io_pgetevents" at 0xc0290cfe, type=FUNC, size=0x24)
[D] sys_call_table[417]: Symbol("__riscv_sys_recvmmsg" at 0xc06fa386, type=FUNC, size=0x24)
[D] sys_call_table[418]: Symbol("__riscv_sys_mq_timedsend" at 0xc03f1da2, type=FUNC, size=0x24)
[D] sys_call_table[419]: Symbol("__riscv_sys_mq_timedreceive" at 0xc03f1e62, type=FUNC, size=0x24)
[D] sys_call_table[420]: Symbol("__riscv_sys_semtimedop" at 0xc03ed9e6, type=FUNC, size=0x24)
[D] sys_call_table[421]: Symbol("__riscv_sys_rt_sigtimedwait" at 0xc0023ae8, type=FUNC, size=0x24)
[D] sys_call_table[422]: Symbol("__riscv_sys_futex" at 0xc00bc078, type=FUNC, size=0x24)
[D] sys_call_table[423]: Symbol("__riscv_sys_sched_rr_get_interval" at 0xc0060c04, type=FUNC, size=0x24)
[D] sys_call_table[424]: Symbol("__riscv_sys_pidfd_send_signal" at 0xc0023f98, type=FUNC, size=0x24)
[D] sys_call_table[425]: Symbol("__riscv_sys_io_uring_setup" at 0xc04734ca, type=FUNC, size=0x24)
[D] sys_call_table[426]: Symbol("__riscv_sys_io_uring_enter" at 0xc047341a, type=FUNC, size=0x24)
[D] sys_call_table[427]: Symbol("__riscv_sys_io_uring_register" at 0xc0482072, type=FUNC, size=0x26)
[D] sys_call_table[428]: Symbol("__riscv_sys_open_tree" at 0xc025b1c2, type=FUNC, size=0x24)
[D] sys_call_table[429]: Symbol("__riscv_sys_move_mount" at 0xc025c6aa, type=FUNC, size=0x24)
[D] sys_call_table[430]: Symbol("__riscv_sys_fsopen" at 0xc02741b6, type=FUNC, size=0x24)
[D] sys_call_table[431]: Symbol("__riscv_sys_fsconfig" at 0xc0274714, type=FUNC, size=0x24)
[D] sys_call_table[432]: Symbol("__riscv_sys_fsmount" at 0xc025c396, type=FUNC, size=0x24)
[D] sys_call_table[433]: Symbol("__riscv_sys_fspick" at 0xc027430a, type=FUNC, size=0x24)
[D] sys_call_table[434]: Symbol("__riscv_sys_pidfd_open" at 0xc00324a4, type=FUNC, size=0x24)
[D] sys_call_table[435]: Symbol("__riscv_sys_clone3" at 0xc0011834, type=FUNC, size=0x24)
[D] sys_call_table[436]: Symbol("__riscv_sys_close_range" at 0xc02331f2, type=FUNC, size=0x24)
[D] sys_call_table[437]: Symbol("__riscv_sys_openat2" at 0xc023309e, type=FUNC, size=0x24)
[D] sys_call_table[438]: Symbol("__riscv_sys_pidfd_getfd" at 0xc0032602, type=FUNC, size=0x24)
[D] sys_call_table[439]: Symbol("__riscv_sys_faccessat2" at 0xc0231b0c, type=FUNC, size=0x24)
[D] sys_call_table[440]: Symbol("__riscv_sys_process_madvise" at 0xc0205f54, type=FUNC, size=0x24)
[D] sys_call_table[441]: Symbol("__riscv_sys_epoll_pwait2" at 0xc0287bf2, type=FUNC, size=0x24)
[D] sys_call_table[442]: Symbol("__riscv_sys_mount_setattr" at 0xc025d1da, type=FUNC, size=0x24)
[D] sys_call_table[443]: Symbol("__riscv_sys_quotactl_fd" at 0xc02ac7e8, type=FUNC, size=0x24)
[D] sys_call_table[444]: Symbol("__riscv_sys_landlock_create_ruleset" at 0xc0424d34, type=FUNC, size=0x24)
[D] sys_call_table[445]: Symbol("__riscv_sys_landlock_add_rule" at 0xc0424f64, type=FUNC, size=0x24)
[D] sys_call_table[446]: Symbol("__riscv_sys_landlock_restrict_self" at 0xc042507e, type=FUNC, size=0x24)
[D] sys_call_table[447]: Symbol("__riscv_sys_memfd_secret" at 0xc022c514, type=FUNC, size=0x24)
[D] sys_call_table[448]: Symbol("__riscv_sys_process_mrelease" at 0xc01a0e68, type=FUNC, size=0x24)
[D] sys_call_table[449]: Symbol("__riscv_sys_futex_waitv" at 0xc00bc3ae, type=FUNC, size=0x24)
[D] sys_call_table[450]: Symbol("__riscv_sys_set_mempolicy_home_node" at 0xc021b526, type=FUNC, size=0x24)
[D] sys_call_table[451]: Symbol("__riscv_sys_cachestat" at 0xc019d5f2, type=FUNC, size=0x24)
[D] sys_call_table[452]: Symbol("__riscv_sys_fchmodat2" at 0xc02320ca, type=FUNC, size=0x24)
[D] sys_call_table[453]: Symbol("__riscv_sys_map_shadow_stack" at 0xc0036334, type=FUNC, size=0x10)
[D] sys_call_table[454]: Symbol("__riscv_sys_futex_wake" at 0xc00bc41c, type=FUNC, size=0x24)
[D] sys_call_table[455]: Symbol("__riscv_sys_futex_wait" at 0xc00bc534, type=FUNC, size=0x24)
[D] sys_call_table[456]: Symbol("__riscv_sys_futex_requeue" at 0xc00bc56a, type=FUNC, size=0x24)
[D] sys_call_table[457]: Symbol("__riscv_sys_statmount" at 0xc025db0a, type=FUNC, size=0x26)
[D] sys_call_table[458]: Symbol("__riscv_sys_listmount" at 0xc025df68, type=FUNC, size=0x24)
[D] sys_call_table[459]: Symbol("__riscv_sys_lsm_get_self_attr" at 0xc03fbf76, type=FUNC, size=0x24)
[D] sys_call_table[460]: Symbol("__riscv_sys_lsm_set_self_attr" at 0xc03fbf3e, type=FUNC, size=0x24)
[D] sys_call_table[461]: Symbol("__riscv_sys_lsm_list_modules" at 0xc03fc0b0, type=FUNC, size=0x24)
[D] sys_call_table[462]: Symbol("__riscv_sys_mseal" at 0xc0036084, type=FUNC, size=0x10)
[I] Common syscall symbol prefixes: __riscv_sys_, __riscv_, __
[I] 156 entries point to __riscv_sys_ni_syscall
[I] Syscall pkey_mprotect (__riscv_sys_pkey_mprotect) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_alloc (__riscv_sys_pkey_alloc) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall pkey_free (__riscv_sys_pkey_free) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall kexec_file_load (__riscv_sys_kexec_file_load) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall map_shadow_stack (__riscv_sys_map_shadow_stack) is not really implemented: code matches __riscv_sys_ni_syscall
[I] Syscall mseal (__riscv_sys_mseal) is not really implemented: code matches __riscv_sys_ni_syscall
