[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v6.13 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.13
Detected kernel version: 6.13.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff8000810781d8, type=OBJECT, size=0xe98)
[D] compat_sys_call_table[210]: Symbol("__arm64_sys_setresgid" at 0xffff8000800e1724, type=FUNC, size=0x2c)
[D] compat_sys_call_table[211]: Symbol("__arm64_sys_getresgid" at 0xffff8000800e1750, type=FUNC, size=0x14c)
[D] compat_sys_call_table[212]: Symbol("__arm64_sys_chown" at 0xffff8000803a7f80, type=FUNC, size=0x38)
[D] compat_sys_call_table[213]: Symbol("__arm64_sys_setuid" at 0xffff8000800e0c20, type=FUNC, size=0x20)
[D] compat_sys_call_table[214]: Symbol("__arm64_sys_setgid" at 0xffff8000800e07e0, type=FUNC, size=0x20)
[D] compat_sys_call_table[215]: Symbol("__arm64_sys_setfsuid" at 0xffff8000800e1990, type=FUNC, size=0x20)
[D] compat_sys_call_table[216]: Symbol("__arm64_sys_setfsgid" at 0xffff8000800e1aa0, type=FUNC, size=0x20)
[D] compat_sys_call_table[217]: Symbol("__arm64_sys_getdents64" at 0xffff8000803c7fc0, type=FUNC, size=0x14c)
[D] compat_sys_call_table[218]: Symbol("__arm64_sys_pivot_root" at 0xffff8000803e16a4, type=FUNC, size=0x510)
[D] compat_sys_call_table[219]: Symbol("__arm64_sys_mincore" at 0xffff80008030ba68, type=FUNC, size=0x324)
[D] compat_sys_call_table[220]: Symbol("__arm64_sys_madvise" at 0xffff80008034e520, type=FUNC, size=0x34)
[D] compat_sys_call_table[221]: Symbol("__arm64_compat_sys_fcntl64" at 0xffff8000803c53ec, type=FUNC, size=0x2c)
[D] compat_sys_call_table[222]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[223]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[224]: Symbol("__arm64_sys_gettid" at 0xffff8000800e1aec, type=FUNC, size=0x2c)
[D] compat_sys_call_table[225]: Symbol("__arm64_compat_sys_aarch32_readahead" at 0xffff800080044224, type=FUNC, size=0x30)
[D] compat_sys_call_table[226]: Symbol("__arm64_sys_setxattr" at 0xffff8000803e766c, type=FUNC, size=0x38)
[D] compat_sys_call_table[227]: Symbol("__arm64_sys_lsetxattr" at 0xffff8000803e76a4, type=FUNC, size=0x38)
[D] compat_sys_call_table[228]: Symbol("__arm64_sys_fsetxattr" at 0xffff8000803e76e0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[229]: Symbol("__arm64_sys_getxattr" at 0xffff8000803e7b20, type=FUNC, size=0x30)
[D] compat_sys_call_table[230]: Symbol("__arm64_sys_lgetxattr" at 0xffff8000803e7b50, type=FUNC, size=0x30)
[D] compat_sys_call_table[231]: Symbol("__arm64_sys_fgetxattr" at 0xffff8000803e7b80, type=FUNC, size=0x34)
[D] compat_sys_call_table[232]: Symbol("__arm64_sys_listxattr" at 0xffff8000803e7bf0, type=FUNC, size=0x30)
[D] compat_sys_call_table[233]: Symbol("__arm64_sys_llistxattr" at 0xffff8000803e7c20, type=FUNC, size=0x30)
[D] compat_sys_call_table[234]: Symbol("__arm64_sys_flistxattr" at 0xffff8000803e7c50, type=FUNC, size=0x30)
[D] compat_sys_call_table[235]: Symbol("__arm64_sys_removexattr" at 0xffff8000803e7cc0, type=FUNC, size=0x30)
[D] compat_sys_call_table[236]: Symbol("__arm64_sys_lremovexattr" at 0xffff8000803e7cf0, type=FUNC, size=0x30)
[D] compat_sys_call_table[237]: Symbol("__arm64_sys_fremovexattr" at 0xffff8000803e7d20, type=FUNC, size=0x34)
[D] compat_sys_call_table[238]: Symbol("__arm64_sys_tkill" at 0xffff8000800dd06c, type=FUNC, size=0xa4)
[D] compat_sys_call_table[239]: Symbol("__arm64_sys_sendfile64" at 0xffff8000803ac7c0, type=FUNC, size=0x130)
[D] compat_sys_call_table[240]: Symbol("__arm64_sys_futex_time32" at 0xffff8000801a4f64, type=FUNC, size=0x188)
[D] compat_sys_call_table[241]: Symbol("__arm64_compat_sys_sched_setaffinity" at 0xffff8000801b0e68, type=FUNC, size=0xf4)
[D] compat_sys_call_table[242]: Symbol("__arm64_compat_sys_sched_getaffinity" at 0xffff8000801b100c, type=FUNC, size=0x108)
[D] compat_sys_call_table[243]: Symbol("__arm64_compat_sys_io_setup" at 0xffff80008042234c, type=FUNC, size=0x100)
[D] compat_sys_call_table[244]: Symbol("__arm64_sys_io_destroy" at 0xffff80008042244c, type=FUNC, size=0xe0)
[D] compat_sys_call_table[245]: Symbol("__arm64_sys_io_getevents_time32" at 0xffff800080422c24, type=FUNC, size=0xe8)
[D] compat_sys_call_table[246]: Symbol("__arm64_compat_sys_io_submit" at 0xffff8000804226c4, type=FUNC, size=0x19c)
[D] compat_sys_call_table[247]: Symbol("__arm64_sys_io_cancel" at 0xffff800080422860, type=FUNC, size=0x150)
[D] compat_sys_call_table[248]: Symbol("__arm64_sys_exit_group" at 0xffff8000800ca870, type=FUNC, size=0x18)
[D] compat_sys_call_table[249]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[250]: Symbol("__arm64_sys_epoll_create" at 0xffff800080417660, type=FUNC, size=0x38)
[D] compat_sys_call_table[251]: Symbol("__arm64_sys_epoll_ctl" at 0xffff8000804182a0, type=FUNC, size=0xe8)
[D] compat_sys_call_table[252]: Symbol("__arm64_sys_epoll_wait" at 0xffff800080418388, type=FUNC, size=0xf8)
[D] compat_sys_call_table[253]: Symbol("__arm64_sys_remap_file_pages" at 0xffff8000803107d0, type=FUNC, size=0x3f8)
[D] compat_sys_call_table[254]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[255]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[256]: Symbol("__arm64_sys_set_tid_address" at 0xffff8000800c156c, type=FUNC, size=0x38)
[D] compat_sys_call_table[257]: Symbol("__arm64_compat_sys_timer_create" at 0xffff800080194c90, type=FUNC, size=0xc0)
[D] compat_sys_call_table[258]: Symbol("__arm64_sys_timer_settime32" at 0xffff800080195060, type=FUNC, size=0xec)
[D] compat_sys_call_table[259]: Symbol("__arm64_sys_timer_gettime32" at 0xffff800080194dec, type=FUNC, size=0x9c)
[D] compat_sys_call_table[260]: Symbol("__arm64_sys_timer_getoverrun" at 0xffff800080194e88, type=FUNC, size=0x94)
[D] compat_sys_call_table[261]: Symbol("__arm64_sys_timer_delete" at 0xffff80008019514c, type=FUNC, size=0x1d8)
[D] compat_sys_call_table[262]: Symbol("__arm64_sys_clock_settime32" at 0xffff800080195a00, type=FUNC, size=0xe8)
[D] compat_sys_call_table[263]: Symbol("__arm64_sys_clock_gettime32" at 0xffff800080195ae8, type=FUNC, size=0xe8)
[D] compat_sys_call_table[264]: Symbol("__arm64_sys_clock_getres_time32" at 0xffff800080195c00, type=FUNC, size=0xf0)
[D] compat_sys_call_table[265]: Symbol("__arm64_sys_clock_nanosleep_time32" at 0xffff800080195e40, type=FUNC, size=0x164)
[D] compat_sys_call_table[266]: Symbol("__arm64_compat_sys_aarch32_statfs64" at 0xffff8000800440a0, type=FUNC, size=0x38)
[D] compat_sys_call_table[267]: Symbol("__arm64_compat_sys_aarch32_fstatfs64" at 0xffff8000800440e0, type=FUNC, size=0x38)
[D] compat_sys_call_table[268]: Symbol("__arm64_sys_tgkill" at 0xffff8000800dcfc0, type=FUNC, size=0xac)
[D] compat_sys_call_table[269]: Symbol("__arm64_sys_utimes_time32" at 0xffff8000803fa650, type=FUNC, size=0x28)
[D] compat_sys_call_table[270]: Symbol("__arm64_compat_sys_aarch32_fadvise64_64" at 0xffff800080044260, type=FUNC, size=0x44)
[D] compat_sys_call_table[271]: Symbol("__arm64_sys_pciconfig_iobase" at 0xffff8000800f4a70, type=FUNC, size=0x8)
[D] compat_sys_call_table[272]: Symbol("__arm64_sys_pciconfig_read" at 0xffff8000807b6e80, type=FUNC, size=0x2bc)
[D] compat_sys_call_table[273]: Symbol("__arm64_sys_pciconfig_write" at 0xffff8000807b7140, type=FUNC, size=0x1a8)
[D] compat_sys_call_table[274]: Symbol("__arm64_compat_sys_mq_open" at 0xffff8000805d3608, type=FUNC, size=0x110)
[D] compat_sys_call_table[275]: Symbol("__arm64_sys_mq_unlink" at 0xffff8000805d320c, type=FUNC, size=0x15c)
[D] compat_sys_call_table[276]: Symbol("__arm64_sys_mq_timedsend_time32" at 0xffff8000805d3808, type=FUNC, size=0xc8)
[D] compat_sys_call_table[277]: Symbol("__arm64_sys_mq_timedreceive_time32" at 0xffff8000805d38d0, type=FUNC, size=0xc8)
[D] compat_sys_call_table[278]: Symbol("__arm64_compat_sys_mq_notify" at 0xffff8000805d3720, type=FUNC, size=0xb8)
[D] compat_sys_call_table[279]: Symbol("__arm64_compat_sys_mq_getsetattr" at 0xffff8000805d37e0, type=FUNC, size=0x28)
[D] compat_sys_call_table[280]: Symbol("__arm64_compat_sys_waitid" at 0xffff8000800cb6c0, type=FUNC, size=0x34)
[D] compat_sys_call_table[281]: Symbol("__arm64_sys_socket" at 0xffff800080e3efe8, type=FUNC, size=0x30)
[D] compat_sys_call_table[282]: Symbol("__arm64_sys_bind" at 0xffff800080e3f4ac, type=FUNC, size=0x30)
[D] compat_sys_call_table[283]: Symbol("__arm64_sys_connect" at 0xffff800080e3fb20, type=FUNC, size=0x30)
[D] compat_sys_call_table[284]: Symbol("__arm64_sys_listen" at 0xffff800080e3f640, type=FUNC, size=0x2c)
[D] compat_sys_call_table[285]: Symbol("__arm64_sys_accept" at 0xffff800080e3f960, type=FUNC, size=0x30)
[D] compat_sys_call_table[286]: Symbol("__arm64_sys_getsockname" at 0xffff800080e3fc80, type=FUNC, size=0x2c)
[D] compat_sys_call_table[287]: Symbol("__arm64_sys_getpeername" at 0xffff800080e3fdd0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[288]: Symbol("__arm64_sys_socketpair" at 0xffff800080e3f2e0, type=FUNC, size=0x34)
[D] compat_sys_call_table[289]: Symbol("__arm64_sys_send" at 0xffff800080e3ffc8, type=FUNC, size=0x38)
[D] compat_sys_call_table[290]: Symbol("__arm64_sys_sendto" at 0xffff800080e3ff90, type=FUNC, size=0x38)
[D] compat_sys_call_table[291]: Symbol("__arm64_compat_sys_recv" at 0xffff800080ed0250, type=FUNC, size=0x40)
[D] compat_sys_call_table[292]: Symbol("__arm64_compat_sys_recvfrom" at 0xffff800080ed0290, type=FUNC, size=0x3c)
[D] compat_sys_call_table[293]: Symbol("__arm64_sys_shutdown" at 0xffff800080e40528, type=FUNC, size=0x2c)
[D] compat_sys_call_table[294]: Symbol("__arm64_sys_setsockopt" at 0xffff800080e402c0, type=FUNC, size=0x38)
[D] compat_sys_call_table[295]: Symbol("__arm64_sys_getsockopt" at 0xffff800080e403d0, type=FUNC, size=0x34)
[D] compat_sys_call_table[296]: Symbol("__arm64_compat_sys_sendmsg" at 0xffff800080ed01b0, type=FUNC, size=0x30)
[D] compat_sys_call_table[297]: Symbol("__arm64_compat_sys_recvmsg" at 0xffff800080ed0220, type=FUNC, size=0x30)
[D] compat_sys_call_table[298]: Symbol("__arm64_sys_semop" at 0xffff8000805cd1b0, type=FUNC, size=0x30)
[D] compat_sys_call_table[299]: Symbol("__arm64_sys_semget" at 0xffff8000805cbc64, type=FUNC, size=0x9c)
[D] compat_sys_call_table[300]: Symbol("__arm64_compat_sys_old_semctl" at 0xffff8000805cbf04, type=FUNC, size=0x38)
[D] compat_sys_call_table[301]: Symbol("__arm64_compat_sys_msgsnd" at 0xffff8000805c8be0, type=FUNC, size=0x30)
[D] compat_sys_call_table[302]: Symbol("__arm64_compat_sys_msgrcv" at 0xffff8000805c8cb0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[303]: Symbol("__arm64_sys_msgget" at 0xffff8000805c898c, type=FUNC, size=0x80)
[D] compat_sys_call_table[304]: Symbol("__arm64_compat_sys_old_msgctl" at 0xffff8000805c8aa0, type=FUNC, size=0x30)
[D] compat_sys_call_table[305]: Symbol("__arm64_compat_sys_shmat" at 0xffff8000805cffc0, type=FUNC, size=0x78)
[D] compat_sys_call_table[306]: Symbol("__arm64_sys_shmdt" at 0xffff8000805d0288, type=FUNC, size=0x20)
[D] compat_sys_call_table[307]: Symbol("__arm64_sys_shmget" at 0xffff8000805cf8c8, type=FUNC, size=0x88)
[D] compat_sys_call_table[308]: Symbol("__arm64_compat_sys_old_shmctl" at 0xffff8000805cf9e0, type=FUNC, size=0x30)
[D] compat_sys_call_table[309]: Symbol("__arm64_sys_add_key" at 0xffff8000805d8c00, type=FUNC, size=0x258)
[D] compat_sys_call_table[310]: Symbol("__arm64_sys_request_key" at 0xffff8000805d8e60, type=FUNC, size=0x1d0)
[D] compat_sys_call_table[311]: Symbol("__arm64_compat_sys_keyctl" at 0xffff8000805ddda0, type=FUNC, size=0x1c8)
[D] compat_sys_call_table[312]: Symbol("__arm64_sys_semtimedop_time32" at 0xffff8000805cd100, type=FUNC, size=0xb0)
[D] compat_sys_call_table[313]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[314]: Symbol("__arm64_sys_ioprio_set" at 0xffff80008062fb6c, type=FUNC, size=0x2d4)
[D] compat_sys_call_table[315]: Symbol("__arm64_sys_ioprio_get" at 0xffff80008062fe40, type=FUNC, size=0x3a0)
[D] compat_sys_call_table[316]: Symbol("__arm64_sys_inotify_init" at 0xffff800080411104, type=FUNC, size=0x24)
[D] compat_sys_call_table[317]: Symbol("__arm64_sys_inotify_add_watch" at 0xffff800080411128, type=FUNC, size=0x418)
[D] compat_sys_call_table[318]: Symbol("__arm64_sys_inotify_rm_watch" at 0xffff800080411540, type=FUNC, size=0xf4)
[D] compat_sys_call_table[319]: Symbol("__arm64_sys_mbind" at 0xffff80008036a740, type=FUNC, size=0xec)
[D] compat_sys_call_table[320]: Symbol("__arm64_sys_get_mempolicy" at 0xffff800080367b88, type=FUNC, size=0x6c4)
[D] compat_sys_call_table[321]: Symbol("__arm64_sys_set_mempolicy" at 0xffff800080367820, type=FUNC, size=0xc8)
[D] compat_sys_call_table[322]: Symbol("__arm64_compat_sys_openat" at 0xffff8000803a8c60, type=FUNC, size=0xb0)
[D] compat_sys_call_table[323]: Symbol("__arm64_sys_mkdirat" at 0xffff8000803c2990, type=FUNC, size=0x78)
[D] compat_sys_call_table[324]: Symbol("__arm64_sys_mknodat" at 0xffff8000803c2720, type=FUNC, size=0x80)
[D] compat_sys_call_table[325]: Symbol("__arm64_sys_fchownat" at 0xffff8000803a7f40, type=FUNC, size=0x38)
[D] compat_sys_call_table[326]: Symbol("__arm64_sys_futimesat_time32" at 0xffff8000803fa628, type=FUNC, size=0x28)
[D] compat_sys_call_table[327]: Symbol("__arm64_sys_fstatat64" at 0xffff8000803b43d0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[328]: Symbol("__arm64_sys_unlinkat" at 0xffff8000803c2f88, type=FUNC, size=0xcc)
[D] compat_sys_call_table[329]: Symbol("__arm64_sys_renameat" at 0xffff8000803c3d64, type=FUNC, size=0xc0)
[D] compat_sys_call_table[330]: Symbol("__arm64_sys_linkat" at 0xffff8000803c3610, type=FUNC, size=0xc8)
[D] compat_sys_call_table[331]: Symbol("__arm64_sys_symlinkat" at 0xffff8000803c3240, type=FUNC, size=0xb0)
[D] compat_sys_call_table[332]: Symbol("__arm64_sys_readlinkat" at 0xffff8000803b4308, type=FUNC, size=0x30)
[D] compat_sys_call_table[333]: Symbol("__arm64_sys_fchmodat" at 0xffff8000803a7a4c, type=FUNC, size=0xd8)
[D] compat_sys_call_table[334]: Symbol("__arm64_sys_faccessat" at 0xffff8000803a7304, type=FUNC, size=0x30)
[D] compat_sys_call_table[335]: Symbol("__arm64_compat_sys_pselect6_time32" at 0xffff8000803ca76c, type=FUNC, size=0x1ac)
[D] compat_sys_call_table[336]: Symbol("__arm64_compat_sys_ppoll_time32" at 0xffff8000803ca920, type=FUNC, size=0x138)
[D] compat_sys_call_table[337]: Symbol("__arm64_sys_unshare" at 0xffff8000800c38f0, type=FUNC, size=0x24)
[D] compat_sys_call_table[338]: Symbol("__arm64_compat_sys_set_robust_list" at 0xffff8000801a4e00, type=FUNC, size=0x24)
[D] compat_sys_call_table[339]: Symbol("__arm64_compat_sys_get_robust_list" at 0xffff8000801a4e24, type=FUNC, size=0x140)
[D] compat_sys_call_table[340]: Symbol("__arm64_sys_splice" at 0xffff8000803f8cc0, type=FUNC, size=0x33c)
[D] compat_sys_call_table[341]: Symbol("__arm64_compat_sys_aarch32_sync_file_range2" at 0xffff8000800442a4, type=FUNC, size=0x44)
[D] compat_sys_call_table[342]: Symbol("__arm64_sys_tee" at 0xffff8000803f93ac, type=FUNC, size=0xf4)
[D] compat_sys_call_table[343]: Symbol("__arm64_sys_vmsplice" at 0xffff8000803f8c90, type=FUNC, size=0x2c)
[D] compat_sys_call_table[344]: Symbol("__arm64_sys_move_pages" at 0xffff800080379e6c, type=FUNC, size=0x738)
[D] compat_sys_call_table[345]: Symbol("__arm64_sys_getcpu" at 0xffff8000800e3d00, type=FUNC, size=0xd8)
[D] compat_sys_call_table[346]: Symbol("__arm64_compat_sys_epoll_pwait" at 0xffff800080418680, type=FUNC, size=0x118)
[D] compat_sys_call_table[347]: Symbol("__arm64_compat_sys_kexec_load" at 0xffff8000801afc20, type=FUNC, size=0x1e0)
[D] compat_sys_call_table[348]: Symbol("__arm64_sys_utimensat_time32" at 0xffff8000803fa540, type=FUNC, size=0xe8)
[D] compat_sys_call_table[349]: Symbol("__arm64_compat_sys_signalfd" at 0xffff800080419740, type=FUNC, size=0x98)
[D] compat_sys_call_table[350]: Symbol("__arm64_sys_timerfd_create" at 0xffff80008041a540, type=FUNC, size=0x1dc)
[D] compat_sys_call_table[351]: Symbol("__arm64_sys_eventfd" at 0xffff80008041b56c, type=FUNC, size=0x28)
[D] compat_sys_call_table[352]: Symbol("__arm64_compat_sys_aarch32_fallocate" at 0xffff8000800442e8, type=FUNC, size=0x44)
[D] compat_sys_call_table[353]: Symbol("__arm64_sys_timerfd_settime32" at 0xffff80008041a8a0, type=FUNC, size=0xd4)
[D] compat_sys_call_table[354]: Symbol("__arm64_sys_timerfd_gettime32" at 0xffff80008041a980, type=FUNC, size=0x98)
[D] compat_sys_call_table[355]: Symbol("__arm64_compat_sys_signalfd4" at 0xffff8000804196a0, type=FUNC, size=0x98)
[D] compat_sys_call_table[356]: Symbol("__arm64_sys_eventfd2" at 0xffff80008041b540, type=FUNC, size=0x2c)
[D] compat_sys_call_table[357]: Symbol("__arm64_sys_epoll_create1" at 0xffff800080417630, type=FUNC, size=0x24)
[D] compat_sys_call_table[358]: Symbol("__arm64_sys_dup3" at 0xffff8000803d86a0, type=FUNC, size=0x30)
[D] compat_sys_call_table[359]: Symbol("__arm64_sys_pipe2" at 0xffff8000803b99a8, type=FUNC, size=0x2c)
[D] compat_sys_call_table[360]: Symbol("__arm64_sys_inotify_init1" at 0xffff8000804110e0, type=FUNC, size=0x24)
[D] compat_sys_call_table[361]: Symbol("__arm64_compat_sys_preadv" at 0xffff8000803ac588, type=FUNC, size=0x3c)
[D] compat_sys_call_table[362]: Symbol("__arm64_compat_sys_pwritev" at 0xffff8000803ac620, type=FUNC, size=0x3c)
[D] compat_sys_call_table[363]: Symbol("__arm64_compat_sys_rt_tgsigqueueinfo" at 0xffff8000800dd3e0, type=FUNC, size=0xec)
[D] compat_sys_call_table[364]: Symbol("__arm64_sys_perf_event_open" at 0xffff8000802a6320, type=FUNC, size=0x34)
[D] compat_sys_call_table[365]: Symbol("__arm64_compat_sys_recvmmsg_time32" at 0xffff800080ed0308, type=FUNC, size=0x3c)
[D] compat_sys_call_table[366]: Symbol("__arm64_sys_accept4" at 0xffff800080e3f928, type=FUNC, size=0x30)
[D] compat_sys_call_table[367]: Symbol("__arm64_sys_fanotify_init" at 0xffff8000804155a4, type=FUNC, size=0x2e0)
[D] compat_sys_call_table[368]: Symbol("__arm64_compat_sys_fanotify_mark" at 0xffff8000804158c0, type=FUNC, size=0x40)
[D] compat_sys_call_table[369]: Symbol("__arm64_sys_prlimit64" at 0xffff8000800e29a0, type=FUNC, size=0x310)
[D] compat_sys_call_table[370]: Symbol("__arm64_sys_name_to_handle_at" at 0xffff800080435ed0, type=FUNC, size=0x3b8)
[D] compat_sys_call_table[371]: Symbol("__arm64_compat_sys_open_by_handle_at" at 0xffff8000804362c0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[372]: Symbol("__arm64_sys_clock_adjtime32" at 0xffff800080195bd0, type=FUNC, size=0x28)
[D] compat_sys_call_table[373]: Symbol("__arm64_sys_syncfs" at 0xffff8000803f99e4, type=FUNC, size=0xc8)
[D] compat_sys_call_table[374]: Symbol("__arm64_compat_sys_sendmmsg" at 0xffff800080ed01e0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[375]: Symbol("__arm64_sys_setns" at 0xffff8000800f58c0, type=FUNC, size=0x6e8)
[D] compat_sys_call_table[376]: Symbol("__arm64_sys_process_vm_readv" at 0xffff80008032de00, type=FUNC, size=0x34)
[D] compat_sys_call_table[377]: Symbol("__arm64_sys_process_vm_writev" at 0xffff80008032de40, type=FUNC, size=0x34)
[D] compat_sys_call_table[378]: Symbol("__arm64_sys_kcmp" at 0xffff800080182160, type=FUNC, size=0x5c4)
[D] compat_sys_call_table[379]: Symbol("__arm64_sys_finit_module" at 0xffff80008017f1e8, type=FUNC, size=0x328)
[D] compat_sys_call_table[380]: Symbol("__arm64_sys_sched_setattr" at 0xffff800080125090, type=FUNC, size=0x43c)
[D] compat_sys_call_table[381]: Symbol("__arm64_sys_sched_getattr" at 0xffff800080125680, type=FUNC, size=0x238)
[D] compat_sys_call_table[382]: Symbol("__arm64_sys_renameat2" at 0xffff8000803c3ca0, type=FUNC, size=0xc4)
[D] compat_sys_call_table[383]: Symbol("__arm64_sys_seccomp" at 0xffff8000801dfd6c, type=FUNC, size=0x2c)
[D] compat_sys_call_table[384]: Symbol("__arm64_sys_getrandom" at 0xffff800080a0e780, type=FUNC, size=0xdc)
[D] compat_sys_call_table[385]: Symbol("__arm64_sys_memfd_create" at 0xffff8000803a4720, type=FUNC, size=0x380)
[D] compat_sys_call_table[386]: Symbol("__arm64_sys_bpf" at 0xffff800080224ca0, type=FUNC, size=0x34)
[D] compat_sys_call_table[387]: Symbol("__arm64_compat_sys_execveat" at 0xffff8000803b78a0, type=FUNC, size=0x64)
[D] compat_sys_call_table[388]: Symbol("__arm64_sys_userfaultfd" at 0xffff80008041ee00, type=FUNC, size=0x54)
[D] compat_sys_call_table[389]: Symbol("__arm64_sys_membarrier" at 0xffff80008012eb50, type=FUNC, size=0x3c8)
[D] compat_sys_call_table[390]: Symbol("__arm64_sys_mlock2" at 0xffff80008030da48, type=FUNC, size=0x4c)
[D] compat_sys_call_table[391]: Symbol("__arm64_sys_copy_file_range" at 0xffff8000803ad060, type=FUNC, size=0x2f4)
[D] compat_sys_call_table[392]: Symbol("__arm64_compat_sys_preadv2" at 0xffff8000803ac5c4, type=FUNC, size=0x54)
[D] compat_sys_call_table[393]: Symbol("__arm64_compat_sys_pwritev2" at 0xffff8000803ac660, type=FUNC, size=0x54)
[D] compat_sys_call_table[394]: Symbol("__arm64_sys_pkey_mprotect" at 0xffff800080314f40, type=FUNC, size=0x30)
[D] compat_sys_call_table[395]: Symbol("__arm64_sys_pkey_alloc" at 0xffff800080314f70, type=FUNC, size=0x188)
[D] compat_sys_call_table[396]: Symbol("__arm64_sys_pkey_free" at 0xffff800080315100, type=FUNC, size=0xec)
[D] compat_sys_call_table[397]: Symbol("__arm64_sys_statx" at 0xffff8000803b45c8, type=FUNC, size=0xdc)
[D] compat_sys_call_table[398]: Symbol("__arm64_sys_rseq" at 0xffff8000802aebc4, type=FUNC, size=0x230)
[D] compat_sys_call_table[399]: Symbol("__arm64_compat_sys_io_pgetevents" at 0xffff800080422d0c, type=FUNC, size=0x198)
[D] compat_sys_call_table[400]: Symbol("__arm64_sys_migrate_pages" at 0xffff8000803678e8, type=FUNC, size=0x2a0)
[D] compat_sys_call_table[401]: Symbol("__arm64_sys_kexec_file_load" at 0xffff8000801b0320, type=FUNC, size=0x4f4)
[D] compat_sys_call_table[402]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[403]: Symbol("__arm64_sys_clock_gettime" at 0xffff800080195768, type=FUNC, size=0xe8)
[D] compat_sys_call_table[404]: Symbol("__arm64_sys_clock_settime" at 0xffff800080195680, type=FUNC, size=0xe8)
[D] compat_sys_call_table[405]: Symbol("__arm64_sys_clock_adjtime" at 0xffff8000801958e0, type=FUNC, size=0x28)
[D] compat_sys_call_table[406]: Symbol("__arm64_sys_clock_getres" at 0xffff800080195908, type=FUNC, size=0xf0)
[D] compat_sys_call_table[407]: Symbol("__arm64_sys_clock_nanosleep" at 0xffff800080195cf0, type=FUNC, size=0x14c)
[D] compat_sys_call_table[408]: Symbol("__arm64_sys_timer_gettime" at 0xffff800080194d50, type=FUNC, size=0x9c)
[D] compat_sys_call_table[409]: Symbol("__arm64_sys_timer_settime" at 0xffff800080194f68, type=FUNC, size=0xec)
[D] compat_sys_call_table[410]: Symbol("__arm64_sys_timerfd_gettime" at 0xffff80008041a800, type=FUNC, size=0x98)
[D] compat_sys_call_table[411]: Symbol("__arm64_sys_timerfd_settime" at 0xffff80008041a720, type=FUNC, size=0xd4)
[D] compat_sys_call_table[412]: Symbol("__arm64_sys_utimensat" at 0xffff8000803fa34c, type=FUNC, size=0xe4)
[D] compat_sys_call_table[413]: Symbol("__arm64_compat_sys_pselect6_time64" at 0xffff8000803ca5c0, type=FUNC, size=0x1ac)
[D] compat_sys_call_table[414]: Symbol("__arm64_compat_sys_ppoll_time64" at 0xffff8000803caa60, type=FUNC, size=0x138)
[D] compat_sys_call_table[415]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[416]: Symbol("__arm64_compat_sys_io_pgetevents_time64" at 0xffff800080422ea4, type=FUNC, size=0x1a0)
[D] compat_sys_call_table[417]: Symbol("__arm64_compat_sys_recvmmsg_time64" at 0xffff800080ed02cc, type=FUNC, size=0x3c)
[D] compat_sys_call_table[418]: Symbol("__arm64_sys_mq_timedsend" at 0xffff8000805d3368, type=FUNC, size=0xc8)
[D] compat_sys_call_table[419]: Symbol("__arm64_sys_mq_timedreceive" at 0xffff8000805d3430, type=FUNC, size=0xc8)
[D] compat_sys_call_table[420]: Symbol("__arm64_sys_semtimedop" at 0xffff8000805ccf84, type=FUNC, size=0xb0)
[D] compat_sys_call_table[421]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time64" at 0xffff8000800dc8e0, type=FUNC, size=0xf0)
[D] compat_sys_call_table[422]: Symbol("__arm64_sys_futex" at 0xffff8000801a4624, type=FUNC, size=0x188)
[D] compat_sys_call_table[423]: Symbol("__arm64_sys_sched_rr_get_interval" at 0xffff8000801261a0, type=FUNC, size=0x84)
