[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.4 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.4
Detected kernel version: 5.4.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800010bb4d68, type=OBJECT, size=0xda0)
[D] compat_sys_call_table[212]: Symbol("__arm64_sys_chown" at 0xffff8000102e0360, type=FUNC, size=0x30)
[D] compat_sys_call_table[213]: Symbol("__arm64_sys_setuid" at 0xffff8000101053e0, type=FUNC, size=0x18)
[D] compat_sys_call_table[214]: Symbol("__arm64_sys_setgid" at 0xffff800010105000, type=FUNC, size=0x18)
[D] compat_sys_call_table[215]: Symbol("__arm64_sys_setfsuid" at 0xffff800010105f94, type=FUNC, size=0x18)
[D] compat_sys_call_table[216]: Symbol("__arm64_sys_setfsgid" at 0xffff800010106090, type=FUNC, size=0x18)
[D] compat_sys_call_table[217]: Symbol("__arm64_sys_getdents64" at 0xffff8000102fc2b4, type=FUNC, size=0x28)
[D] compat_sys_call_table[218]: Symbol("__arm64_sys_pivot_root" at 0xffff800010310240, type=FUNC, size=0x494)
[D] compat_sys_call_table[219]: Symbol("__arm64_sys_mincore" at 0xffff8000102782d0, type=FUNC, size=0x290)
[D] compat_sys_call_table[220]: Symbol("__arm64_sys_madvise" at 0xffff800010297280, type=FUNC, size=0x9c4)
[D] compat_sys_call_table[221]: Symbol("__arm64_compat_sys_fcntl64" at 0xffff8000102f9ad0, type=FUNC, size=0x24)
[D] compat_sys_call_table[222]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[223]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[224]: Symbol("__arm64_sys_gettid" at 0xffff8000101060d4, type=FUNC, size=0x24)
[D] compat_sys_call_table[225]: Symbol("__arm64_compat_sys_aarch32_readahead" at 0xffff800010097d20, type=FUNC, size=0x28)
[D] compat_sys_call_table[226]: Symbol("__arm64_sys_setxattr" at 0xffff800010313e80, type=FUNC, size=0x2c)
[D] compat_sys_call_table[227]: Symbol("__arm64_sys_lsetxattr" at 0xffff800010313eb0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[228]: Symbol("__arm64_sys_fsetxattr" at 0xffff800010313ee0, type=FUNC, size=0xd4)
[D] compat_sys_call_table[229]: Symbol("__arm64_sys_getxattr" at 0xffff800010313fb4, type=FUNC, size=0x24)
[D] compat_sys_call_table[230]: Symbol("__arm64_sys_lgetxattr" at 0xffff800010313fe0, type=FUNC, size=0x24)
[D] compat_sys_call_table[231]: Symbol("__arm64_sys_fgetxattr" at 0xffff800010314004, type=FUNC, size=0xcc)
[D] compat_sys_call_table[232]: Symbol("__arm64_sys_listxattr" at 0xffff8000103140d0, type=FUNC, size=0x24)
[D] compat_sys_call_table[233]: Symbol("__arm64_sys_llistxattr" at 0xffff8000103140f4, type=FUNC, size=0x24)
[D] compat_sys_call_table[234]: Symbol("__arm64_sys_flistxattr" at 0xffff800010314120, type=FUNC, size=0xb4)
[D] compat_sys_call_table[235]: Symbol("__arm64_sys_removexattr" at 0xffff8000103141d4, type=FUNC, size=0x20)
[D] compat_sys_call_table[236]: Symbol("__arm64_sys_lremovexattr" at 0xffff8000103141f4, type=FUNC, size=0x20)
[D] compat_sys_call_table[237]: Symbol("__arm64_sys_fremovexattr" at 0xffff800010314214, type=FUNC, size=0xb4)
[D] compat_sys_call_table[238]: Symbol("__arm64_sys_tkill" at 0xffff8000101018d0, type=FUNC, size=0x30)
[D] compat_sys_call_table[239]: Symbol("__arm64_sys_sendfile64" at 0xffff8000102e4a14, type=FUNC, size=0x150)
[D] compat_sys_call_table[240]: Symbol("__arm64_sys_futex_time32" at 0xffff800010189584, type=FUNC, size=0x158)
[D] compat_sys_call_table[241]: Symbol("__arm64_compat_sys_sched_setaffinity" at 0xffff800010197500, type=FUNC, size=0x88)
[D] compat_sys_call_table[242]: Symbol("__arm64_compat_sys_sched_getaffinity" at 0xffff800010197730, type=FUNC, size=0xb4)
[D] compat_sys_call_table[243]: Symbol("__arm64_compat_sys_io_setup" at 0xffff800010346dd4, type=FUNC, size=0x168)
[D] compat_sys_call_table[244]: Symbol("__arm64_sys_io_destroy" at 0xffff800010346f40, type=FUNC, size=0xbc)
[D] compat_sys_call_table[245]: Symbol("__arm64_sys_io_getevents_time32" at 0xffff800010347700, type=FUNC, size=0xbc)
[D] compat_sys_call_table[246]: Symbol("__arm64_compat_sys_io_submit" at 0xffff800010347190, type=FUNC, size=0x1b4)
[D] compat_sys_call_table[247]: Symbol("__arm64_sys_io_cancel" at 0xffff800010347344, type=FUNC, size=0x17c)
[D] compat_sys_call_table[248]: Symbol("__arm64_sys_exit_group" at 0xffff8000100f16e0, type=FUNC, size=0x14)
[D] compat_sys_call_table[249]: Symbol("__arm64_compat_sys_lookup_dcookie" at 0xffff80001038b4d4, type=FUNC, size=0x28)
[D] compat_sys_call_table[250]: Symbol("__arm64_sys_epoll_create" at 0xffff80001033e2d0, type=FUNC, size=0x30)
[D] compat_sys_call_table[251]: Symbol("__arm64_sys_epoll_ctl" at 0xffff80001033e300, type=FUNC, size=0xb28)
[D] compat_sys_call_table[252]: Symbol("__arm64_sys_epoll_wait" at 0xffff80001033ee30, type=FUNC, size=0x2c)
[D] compat_sys_call_table[253]: Symbol("__arm64_sys_remap_file_pages" at 0xffff80001027eba0, type=FUNC, size=0x240)
[D] compat_sys_call_table[254]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[255]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[256]: Symbol("__arm64_sys_set_tid_address" at 0xffff8000100e9c60, type=FUNC, size=0x30)
[D] compat_sys_call_table[257]: Symbol("__arm64_compat_sys_timer_create" at 0xffff80001017c464, type=FUNC, size=0x94)
[D] compat_sys_call_table[258]: Symbol("__arm64_sys_timer_settime32" at 0xffff80001017c750, type=FUNC, size=0xc8)
[D] compat_sys_call_table[259]: Symbol("__arm64_sys_timer_gettime32" at 0xffff80001017c580, type=FUNC, size=0x7c)
[D] compat_sys_call_table[260]: Symbol("__arm64_sys_timer_getoverrun" at 0xffff80001017c600, type=FUNC, size=0x80)
[D] compat_sys_call_table[261]: Symbol("__arm64_sys_timer_delete" at 0xffff80001017c820, type=FUNC, size=0xf8)
[D] compat_sys_call_table[262]: Symbol("__arm64_sys_clock_settime32" at 0xffff80001017cd10, type=FUNC, size=0xd4)
[D] compat_sys_call_table[263]: Symbol("__arm64_sys_clock_gettime32" at 0xffff80001017cde4, type=FUNC, size=0xd8)
[D] compat_sys_call_table[264]: Symbol("__arm64_sys_clock_getres_time32" at 0xffff80001017cee0, type=FUNC, size=0xe0)
[D] compat_sys_call_table[265]: Symbol("__arm64_sys_clock_nanosleep_time32" at 0xffff80001017d0f0, type=FUNC, size=0x12c)
[D] compat_sys_call_table[266]: Symbol("__arm64_compat_sys_aarch32_statfs64" at 0xffff800010097be0, type=FUNC, size=0x30)
[D] compat_sys_call_table[267]: Symbol("__arm64_compat_sys_aarch32_fstatfs64" at 0xffff800010097c10, type=FUNC, size=0x30)
[D] compat_sys_call_table[268]: Symbol("__arm64_sys_tgkill" at 0xffff800010101890, type=FUNC, size=0x38)
[D] compat_sys_call_table[269]: Symbol("__arm64_sys_utimes_time32" at 0xffff8000103239f4, type=FUNC, size=0x20)
[D] compat_sys_call_table[270]: Symbol("__arm64_compat_sys_aarch32_fadvise64_64" at 0xffff800010097d50, type=FUNC, size=0x3c)
[D] compat_sys_call_table[271]: Symbol("__arm64_sys_pciconfig_iobase" at 0xffff8000101155b0, type=FUNC, size=0x8)
[D] compat_sys_call_table[272]: Symbol("__arm64_sys_pciconfig_read" at 0xffff8000105d99b0, type=FUNC, size=0x348)
[D] compat_sys_call_table[273]: Symbol("__arm64_sys_pciconfig_write" at 0xffff8000105d9d00, type=FUNC, size=0x200)
[D] compat_sys_call_table[274]: Symbol("__arm64_compat_sys_mq_open" at 0xffff8000104a8550, type=FUNC, size=0xb0)
[D] compat_sys_call_table[275]: Symbol("__arm64_sys_mq_unlink" at 0xffff8000104a81c4, type=FUNC, size=0x174)
[D] compat_sys_call_table[276]: Symbol("__arm64_sys_mq_timedsend_time32" at 0xffff8000104a86b0, type=FUNC, size=0xb4)
[D] compat_sys_call_table[277]: Symbol("__arm64_sys_mq_timedreceive_time32" at 0xffff8000104a8764, type=FUNC, size=0xb4)
[D] compat_sys_call_table[278]: Symbol("__arm64_compat_sys_mq_notify" at 0xffff8000104a8600, type=FUNC, size=0x90)
[D] compat_sys_call_table[279]: Symbol("__arm64_compat_sys_mq_getsetattr" at 0xffff8000104a8690, type=FUNC, size=0x20)
[D] compat_sys_call_table[280]: Symbol("__arm64_compat_sys_waitid" at 0xffff8000100f1aa0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[281]: Symbol("__arm64_sys_socket" at 0xffff800010a4ebf0, type=FUNC, size=0x28)
[D] compat_sys_call_table[282]: Symbol("__arm64_sys_bind" at 0xffff800010a4f000, type=FUNC, size=0x28)
[D] compat_sys_call_table[283]: Symbol("__arm64_sys_connect" at 0xffff800010a4f3f4, type=FUNC, size=0x28)
[D] compat_sys_call_table[284]: Symbol("__arm64_sys_listen" at 0xffff800010a4f0d0, type=FUNC, size=0x24)
[D] compat_sys_call_table[285]: Symbol("__arm64_sys_accept" at 0xffff800010a4f300, type=FUNC, size=0x28)
[D] compat_sys_call_table[286]: Symbol("__arm64_sys_getsockname" at 0xffff800010a4f4e0, type=FUNC, size=0x24)
[D] compat_sys_call_table[287]: Symbol("__arm64_sys_getpeername" at 0xffff800010a4f5d0, type=FUNC, size=0x24)
[D] compat_sys_call_table[288]: Symbol("__arm64_sys_socketpair" at 0xffff800010a4ef14, type=FUNC, size=0x2c)
[D] compat_sys_call_table[289]: Symbol("__arm64_sys_send" at 0xffff800010a4f750, type=FUNC, size=0x30)
[D] compat_sys_call_table[290]: Symbol("__arm64_sys_sendto" at 0xffff800010a4f720, type=FUNC, size=0x30)
[D] compat_sys_call_table[291]: Symbol("__arm64_compat_sys_recv" at 0xffff800010ab55f0, type=FUNC, size=0x38)
[D] compat_sys_call_table[292]: Symbol("__arm64_compat_sys_recvfrom" at 0xffff800010ab5630, type=FUNC, size=0x34)
[D] compat_sys_call_table[293]: Symbol("__arm64_sys_shutdown" at 0xffff800010a4fb54, type=FUNC, size=0x24)
[D] compat_sys_call_table[294]: Symbol("__arm64_compat_sys_setsockopt" at 0xffff800010ab5500, type=FUNC, size=0x30)
[D] compat_sys_call_table[295]: Symbol("__arm64_compat_sys_getsockopt" at 0xffff800010ab5530, type=FUNC, size=0x2c)
[D] compat_sys_call_table[296]: Symbol("__arm64_compat_sys_sendmsg" at 0xffff800010ab5560, type=FUNC, size=0x28)
[D] compat_sys_call_table[297]: Symbol("__arm64_compat_sys_recvmsg" at 0xffff800010ab55c4, type=FUNC, size=0x28)
[D] compat_sys_call_table[298]: Symbol("__arm64_sys_semop" at 0xffff8000104a31b0, type=FUNC, size=0x28)
[D] compat_sys_call_table[299]: Symbol("__arm64_sys_semget" at 0xffff8000104a2c60, type=FUNC, size=0x88)
[D] compat_sys_call_table[300]: Symbol("__arm64_compat_sys_old_semctl" at 0xffff8000104a2f00, type=FUNC, size=0x30)
[D] compat_sys_call_table[301]: Symbol("__arm64_compat_sys_msgsnd" at 0xffff80001049f2d0, type=FUNC, size=0x28)
[D] compat_sys_call_table[302]: Symbol("__arm64_compat_sys_msgrcv" at 0xffff80001049f380, type=FUNC, size=0x34)
[D] compat_sys_call_table[303]: Symbol("__arm64_sys_msgget" at 0xffff80001049f090, type=FUNC, size=0x70)
[D] compat_sys_call_table[304]: Symbol("__arm64_compat_sys_old_msgctl" at 0xffff80001049f170, type=FUNC, size=0x28)
[D] compat_sys_call_table[305]: Symbol("__arm64_compat_sys_shmat" at 0xffff8000104a5894, type=FUNC, size=0x64)
[D] compat_sys_call_table[306]: Symbol("__arm64_sys_shmdt" at 0xffff8000104a5a60, type=FUNC, size=0x18)
[D] compat_sys_call_table[307]: Symbol("__arm64_sys_shmget" at 0xffff8000104a5060, type=FUNC, size=0x7c)
[D] compat_sys_call_table[308]: Symbol("__arm64_compat_sys_old_shmctl" at 0xffff8000104a53c0, type=FUNC, size=0x28)
[D] compat_sys_call_table[309]: Symbol("__arm64_sys_add_key" at 0xffff8000104ad160, type=FUNC, size=0x260)
[D] compat_sys_call_table[310]: Symbol("__arm64_sys_request_key" at 0xffff8000104ad3c0, type=FUNC, size=0x1b4)
[D] compat_sys_call_table[311]: Symbol("__arm64_compat_sys_keyctl" at 0xffff8000104b1b40, type=FUNC, size=0x1c0)
[D] compat_sys_call_table[312]: Symbol("__arm64_sys_semtimedop_time32" at 0xffff8000104a3114, type=FUNC, size=0x9c)
[D] compat_sys_call_table[313]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[314]: Symbol("__arm64_sys_ioprio_set" at 0xffff8000104f30b0, type=FUNC, size=0x278)
[D] compat_sys_call_table[315]: Symbol("__arm64_sys_ioprio_get" at 0xffff8000104f3360, type=FUNC, size=0x390)
[D] compat_sys_call_table[316]: Symbol("__arm64_sys_inotify_init" at 0xffff80001033a680, type=FUNC, size=0x1c)
[D] compat_sys_call_table[317]: Symbol("__arm64_sys_inotify_add_watch" at 0xffff80001033a6a0, type=FUNC, size=0x36c)
[D] compat_sys_call_table[318]: Symbol("__arm64_sys_inotify_rm_watch" at 0xffff80001033aa10, type=FUNC, size=0xec)
[D] compat_sys_call_table[319]: Symbol("__arm64_compat_sys_mbind" at 0xffff8000102abd50, type=FUNC, size=0x178)
[D] compat_sys_call_table[320]: Symbol("__arm64_compat_sys_get_mempolicy" at 0xffff8000102aa910, type=FUNC, size=0x1f0)
[D] compat_sys_call_table[321]: Symbol("__arm64_compat_sys_set_mempolicy" at 0xffff8000102aab00, type=FUNC, size=0x154)
[D] compat_sys_call_table[322]: Symbol("__arm64_compat_sys_openat" at 0xffff8000102e0910, type=FUNC, size=0x28)
[D] compat_sys_call_table[323]: Symbol("__arm64_sys_mkdirat" at 0xffff8000102f7cd0, type=FUNC, size=0x24)
[D] compat_sys_call_table[324]: Symbol("__arm64_sys_mknodat" at 0xffff8000102f7b40, type=FUNC, size=0x28)
[D] compat_sys_call_table[325]: Symbol("__arm64_sys_fchownat" at 0xffff8000102e0330, type=FUNC, size=0x30)
[D] compat_sys_call_table[326]: Symbol("__arm64_sys_futimesat_time32" at 0xffff8000103239d4, type=FUNC, size=0x20)
[D] compat_sys_call_table[327]: Symbol("__arm64_sys_fstatat64" at 0xffff8000102eae20, type=FUNC, size=0x24)
[D] compat_sys_call_table[328]: Symbol("__arm64_sys_unlinkat" at 0xffff8000102f8190, type=FUNC, size=0x64)
[D] compat_sys_call_table[329]: Symbol("__arm64_sys_renameat" at 0xffff8000102f87e0, type=FUNC, size=0x30)
[D] compat_sys_call_table[330]: Symbol("__arm64_sys_linkat" at 0xffff8000102f8754, type=FUNC, size=0x30)
[D] compat_sys_call_table[331]: Symbol("__arm64_sys_symlinkat" at 0xffff8000102f83a0, type=FUNC, size=0x24)
[D] compat_sys_call_table[332]: Symbol("__arm64_sys_readlinkat" at 0xffff8000102ead64, type=FUNC, size=0x28)
[D] compat_sys_call_table[333]: Symbol("__arm64_sys_fchmodat" at 0xffff8000102e01d0, type=FUNC, size=0x28)
[D] compat_sys_call_table[334]: Symbol("__arm64_sys_faccessat" at 0xffff8000102dfd30, type=FUNC, size=0x24)
[D] compat_sys_call_table[335]: Symbol("__arm64_compat_sys_pselect6_time32" at 0xffff8000102fe9b0, type=FUNC, size=0x228)
[D] compat_sys_call_table[336]: Symbol("__arm64_compat_sys_ppoll_time32" at 0xffff8000102febe0, type=FUNC, size=0x114)
[D] compat_sys_call_table[337]: Symbol("__arm64_sys_unshare" at 0xffff8000100ea9a0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[338]: Symbol("__arm64_compat_sys_set_robust_list" at 0xffff8000101893f0, type=FUNC, size=0x38)
[D] compat_sys_call_table[339]: Symbol("__arm64_compat_sys_get_robust_list" at 0xffff800010189430, type=FUNC, size=0x154)
[D] compat_sys_call_table[340]: Symbol("__arm64_sys_splice" at 0xffff800010321ef0, type=FUNC, size=0x70c)
[D] compat_sys_call_table[341]: Symbol("__arm64_compat_sys_aarch32_sync_file_range2" at 0xffff800010097d90, type=FUNC, size=0x3c)
[D] compat_sys_call_table[342]: Symbol("__arm64_sys_tee" at 0xffff800010322600, type=FUNC, size=0x384)
[D] compat_sys_call_table[343]: Symbol("__arm64_compat_sys_vmsplice" at 0xffff800010321ec4, type=FUNC, size=0x28)
[D] compat_sys_call_table[344]: Symbol("__arm64_compat_sys_move_pages" at 0xffff8000102bfde0, type=FUNC, size=0x168)
[D] compat_sys_call_table[345]: Symbol("__arm64_sys_getcpu" at 0xffff800010107ee0, type=FUNC, size=0x110)
[D] compat_sys_call_table[346]: Symbol("__arm64_compat_sys_epoll_pwait" at 0xffff80001033ef30, type=FUNC, size=0xb8)
[D] compat_sys_call_table[347]: Symbol("__arm64_compat_sys_kexec_load" at 0xffff8000101957c0, type=FUNC, size=0x23c)
[D] compat_sys_call_table[348]: Symbol("__arm64_sys_utimensat_time32" at 0xffff800010323910, type=FUNC, size=0xc4)
[D] compat_sys_call_table[349]: Symbol("__arm64_compat_sys_signalfd" at 0xffff80001033fb24, type=FUNC, size=0x84)
[D] compat_sys_call_table[350]: Symbol("__arm64_sys_timerfd_create" at 0xffff8000103408f0, type=FUNC, size=0x17c)
[D] compat_sys_call_table[351]: Symbol("__arm64_sys_eventfd" at 0xffff800010341694, type=FUNC, size=0x20)
[D] compat_sys_call_table[352]: Symbol("__arm64_compat_sys_aarch32_fallocate" at 0xffff800010097dd0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[353]: Symbol("__arm64_sys_timerfd_settime32" at 0xffff800010340b90, type=FUNC, size=0xa4)
[D] compat_sys_call_table[354]: Symbol("__arm64_sys_timerfd_gettime32" at 0xffff800010340c34, type=FUNC, size=0x7c)
[D] compat_sys_call_table[355]: Symbol("__arm64_compat_sys_signalfd4" at 0xffff80001033faa0, type=FUNC, size=0x84)
[D] compat_sys_call_table[356]: Symbol("__arm64_sys_eventfd2" at 0xffff800010341670, type=FUNC, size=0x24)
[D] compat_sys_call_table[357]: Symbol("__arm64_sys_epoll_create1" at 0xffff80001033e2b4, type=FUNC, size=0x1c)
[D] compat_sys_call_table[358]: Symbol("__arm64_sys_dup3" at 0xffff800010309530, type=FUNC, size=0x28)
[D] compat_sys_call_table[359]: Symbol("__arm64_sys_pipe2" at 0xffff8000102ef7a4, type=FUNC, size=0x24)
[D] compat_sys_call_table[360]: Symbol("__arm64_sys_inotify_init1" at 0xffff80001033a660, type=FUNC, size=0x1c)
[D] compat_sys_call_table[361]: Symbol("__arm64_compat_sys_preadv" at 0xffff8000102e47b0, type=FUNC, size=0x34)
[D] compat_sys_call_table[362]: Symbol("__arm64_compat_sys_pwritev" at 0xffff8000102e4860, type=FUNC, size=0x34)
[D] compat_sys_call_table[363]: Symbol("__arm64_compat_sys_rt_tgsigqueueinfo" at 0xffff800010101b40, type=FUNC, size=0xc4)
[D] compat_sys_call_table[364]: Symbol("__arm64_sys_perf_event_open" at 0xffff800010227b14, type=FUNC, size=0x2c)
[D] compat_sys_call_table[365]: Symbol("__arm64_compat_sys_recvmmsg_time32" at 0xffff800010ab56a0, type=FUNC, size=0x34)
[D] compat_sys_call_table[366]: Symbol("__arm64_sys_accept4" at 0xffff800010a4f2d4, type=FUNC, size=0x28)
[D] compat_sys_call_table[367]: Symbol("__arm64_sys_fanotify_init" at 0xffff80001033c6e0, type=FUNC, size=0x260)
[D] compat_sys_call_table[368]: Symbol("__arm64_compat_sys_fanotify_mark" at 0xffff80001033c970, type=FUNC, size=0x38)
[D] compat_sys_call_table[369]: Symbol("__arm64_sys_prlimit64" at 0xffff800010107094, type=FUNC, size=0x244)
[D] compat_sys_call_table[370]: Symbol("__arm64_sys_name_to_handle_at" at 0xffff80001035f5a0, type=FUNC, size=0x258)
[D] compat_sys_call_table[371]: Symbol("__arm64_compat_sys_open_by_handle_at" at 0xffff80001035f824, type=FUNC, size=0x24)
[D] compat_sys_call_table[372]: Symbol("__arm64_sys_clock_adjtime32" at 0xffff80001017cec0, type=FUNC, size=0x20)
[D] compat_sys_call_table[373]: Symbol("__arm64_sys_syncfs" at 0xffff800010322ee0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[374]: Symbol("__arm64_compat_sys_sendmmsg" at 0xffff800010ab5590, type=FUNC, size=0x34)
[D] compat_sys_call_table[375]: Symbol("__arm64_sys_setns" at 0xffff800010115de0, type=FUNC, size=0xe4)
[D] compat_sys_call_table[376]: Symbol("__arm64_compat_sys_process_vm_readv" at 0xffff80001028bda0, type=FUNC, size=0x34)
[D] compat_sys_call_table[377]: Symbol("__arm64_compat_sys_process_vm_writev" at 0xffff80001028bdd4, type=FUNC, size=0x34)
[D] compat_sys_call_table[378]: Symbol("__arm64_sys_kcmp" at 0xffff80001016bdf4, type=FUNC, size=0x4f0)
[D] compat_sys_call_table[379]: Symbol("__arm64_sys_finit_module" at 0xffff8000101916e0, type=FUNC, size=0x24)
[D] compat_sys_call_table[380]: Symbol("__arm64_sys_sched_setattr" at 0xffff8000101225d0, type=FUNC, size=0x300)
[D] compat_sys_call_table[381]: Symbol("__arm64_sys_sched_getattr" at 0xffff800010122a84, type=FUNC, size=0x1d8)
[D] compat_sys_call_table[382]: Symbol("__arm64_sys_renameat2" at 0xffff8000102f87b0, type=FUNC, size=0x30)
[D] compat_sys_call_table[383]: Symbol("__arm64_sys_seccomp" at 0xffff8000101bc9b0, type=FUNC, size=0x24)
[D] compat_sys_call_table[384]: Symbol("__arm64_sys_getrandom" at 0xffff80001076a5b4, type=FUNC, size=0x90)
[D] compat_sys_call_table[385]: Symbol("__arm64_sys_memfd_create" at 0xffff8000102de360, type=FUNC, size=0x240)
[D] compat_sys_call_table[386]: Symbol("__arm64_sys_bpf" at 0xffff8000101f6bc0, type=FUNC, size=0x24)
[D] compat_sys_call_table[387]: Symbol("__arm64_compat_sys_execveat" at 0xffff8000102edbb0, type=FUNC, size=0x68)
[D] compat_sys_call_table[388]: Symbol("__arm64_sys_userfaultfd" at 0xffff800010343d50, type=FUNC, size=0x148)
[D] compat_sys_call_table[389]: Symbol("__arm64_sys_membarrier" at 0xffff80001013e124, type=FUNC, size=0x2c0)
[D] compat_sys_call_table[390]: Symbol("__arm64_sys_mlock2" at 0xffff800010279900, type=FUNC, size=0x4c)
[D] compat_sys_call_table[391]: Symbol("__arm64_sys_copy_file_range" at 0xffff8000102e4df0, type=FUNC, size=0x328)
[D] compat_sys_call_table[392]: Symbol("__arm64_compat_sys_preadv2" at 0xffff8000102e47e4, type=FUNC, size=0x50)
[D] compat_sys_call_table[393]: Symbol("__arm64_compat_sys_pwritev2" at 0xffff8000102e4894, type=FUNC, size=0x50)
[D] compat_sys_call_table[394]: Symbol("__arm64_sys_pkey_mprotect" at 0xffff800010115560, type=FUNC, size=0x8)
[D] compat_sys_call_table[395]: Symbol("__arm64_sys_pkey_alloc" at 0xffff800010115570, type=FUNC, size=0x8)
[D] compat_sys_call_table[396]: Symbol("__arm64_sys_pkey_free" at 0xffff800010115580, type=FUNC, size=0x8)
[D] compat_sys_call_table[397]: Symbol("__arm64_sys_statx" at 0xffff8000102eae44, type=FUNC, size=0x2c)
[D] compat_sys_call_table[398]: Symbol("__arm64_sys_rseq" at 0xffff8000102311e4, type=FUNC, size=0x1b0)
[D] compat_sys_call_table[399]: Symbol("__arm64_compat_sys_io_pgetevents" at 0xffff8000103477c0, type=FUNC, size=0x18c)
[D] compat_sys_call_table[400]: Symbol("__arm64_compat_sys_migrate_pages" at 0xffff8000102aac54, type=FUNC, size=0x1e8)
[D] compat_sys_call_table[401]: Symbol("__arm64_sys_kexec_file_load" at 0xffff800010195f60, type=FUNC, size=0x3dc)
[D] compat_sys_call_table[402]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[403]: Symbol("__arm64_sys_clock_gettime" at 0xffff80001017cab4, type=FUNC, size=0xd8)
[D] compat_sys_call_table[404]: Symbol("__arm64_sys_clock_settime" at 0xffff80001017c9e0, type=FUNC, size=0xd4)
[D] compat_sys_call_table[405]: Symbol("__arm64_sys_clock_adjtime" at 0xffff80001017cc10, type=FUNC, size=0x20)
[D] compat_sys_call_table[406]: Symbol("__arm64_sys_clock_getres" at 0xffff80001017cc30, type=FUNC, size=0xe0)
[D] compat_sys_call_table[407]: Symbol("__arm64_sys_clock_nanosleep" at 0xffff80001017cfc0, type=FUNC, size=0x12c)
[D] compat_sys_call_table[408]: Symbol("__arm64_sys_timer_gettime" at 0xffff80001017c500, type=FUNC, size=0x7c)
[D] compat_sys_call_table[409]: Symbol("__arm64_sys_timer_settime" at 0xffff80001017c680, type=FUNC, size=0xc8)
[D] compat_sys_call_table[410]: Symbol("__arm64_sys_timerfd_gettime" at 0xffff800010340b14, type=FUNC, size=0x7c)
[D] compat_sys_call_table[411]: Symbol("__arm64_sys_timerfd_settime" at 0xffff800010340a70, type=FUNC, size=0xa4)
[D] compat_sys_call_table[412]: Symbol("__arm64_sys_utimensat" at 0xffff800010323720, type=FUNC, size=0xc0)
[D] compat_sys_call_table[413]: Symbol("__arm64_compat_sys_pselect6_time64" at 0xffff8000102fe780, type=FUNC, size=0x228)
[D] compat_sys_call_table[414]: Symbol("__arm64_compat_sys_ppoll_time64" at 0xffff8000102fecf4, type=FUNC, size=0x114)
[D] compat_sys_call_table[415]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[416]: Symbol("__arm64_sys_io_pgetevents" at 0xffff800010347570, type=FUNC, size=0x18c)
[D] compat_sys_call_table[417]: Symbol("__arm64_compat_sys_recvmmsg_time64" at 0xffff800010ab5664, type=FUNC, size=0x34)
[D] compat_sys_call_table[418]: Symbol("__arm64_sys_mq_timedsend" at 0xffff8000104a8340, type=FUNC, size=0xb4)
[D] compat_sys_call_table[419]: Symbol("__arm64_sys_mq_timedreceive" at 0xffff8000104a83f4, type=FUNC, size=0xb4)
[D] compat_sys_call_table[420]: Symbol("__arm64_sys_semtimedop" at 0xffff8000104a2fd4, type=FUNC, size=0x9c)
[D] compat_sys_call_table[421]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time64" at 0xffff8000101012f0, type=FUNC, size=0xc0)
[D] compat_sys_call_table[422]: Symbol("__arm64_sys_futex" at 0xffff800010189110, type=FUNC, size=0x150)
[D] compat_sys_call_table[423]: Symbol("__arm64_sys_sched_rr_get_interval" at 0xffff800010123204, type=FUNC, size=0x70)
[D] compat_sys_call_table[424]: Symbol("__arm64_sys_pidfd_send_signal" at 0xffff800010101680, type=FUNC, size=0x208)
[D] compat_sys_call_table[425]: Symbol("__arm64_sys_io_uring_setup" at 0xffff80001034cbe0, type=FUNC, size=0x20)
