[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64 --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffffffff80e008b8, type=OBJECT, size=0xe28)
[D] sys_call_table[222]: Symbol("__riscv_sys_mmap" at 0xffffffff80005af6, type=FUNC, size=0x36)
[D] sys_call_table[223]: Symbol("__riscv_sys_fadvise64_64" at 0xffffffff8018dd98, type=FUNC, size=0x1e)
[D] sys_call_table[224]: Symbol("__riscv_sys_swapon" at 0xffffffff801f3a24, type=FUNC, size=0x10aa)
[D] sys_call_table[225]: Symbol("__riscv_sys_swapoff" at 0xffffffff801f2b76, type=FUNC, size=0xe86)
[D] sys_call_table[226]: Symbol("__riscv_sys_mprotect" at 0xffffffff801d469e, type=FUNC, size=0x1c)
[D] sys_call_table[227]: Symbol("__riscv_sys_msync" at 0xffffffff801d5d48, type=FUNC, size=0x228)
[D] sys_call_table[228]: Symbol("__riscv_sys_mlock" at 0xffffffff801cc596, type=FUNC, size=0x1c)
[D] sys_call_table[229]: Symbol("__riscv_sys_munlock" at 0xffffffff801cc5ee, type=FUNC, size=0xc2)
[D] sys_call_table[230]: Symbol("__riscv_sys_mlockall" at 0xffffffff801cc6b0, type=FUNC, size=0x164)
[D] sys_call_table[231]: Symbol("__riscv_sys_munlockall" at 0xffffffff801cc814, type=FUNC, size=0x96)
[D] sys_call_table[232]: Symbol("__riscv_sys_mincore" at 0xffffffff801caa0c, type=FUNC, size=0x27e)
[D] sys_call_table[233]: Symbol("__riscv_sys_madvise" at 0xffffffff801ecc0c, type=FUNC, size=0x20)
[D] sys_call_table[234]: Symbol("__riscv_sys_remap_file_pages" at 0xffffffff801d265c, type=FUNC, size=0x270)
[D] sys_call_table[235]: Symbol("__riscv_sys_mbind" at 0xffffffff80204d9c, type=FUNC, size=0xca)
[D] sys_call_table[236]: Symbol("__riscv_sys_get_mempolicy" at 0xffffffff80202b42, type=FUNC, size=0x67e)
[D] sys_call_table[237]: Symbol("__riscv_sys_set_mempolicy" at 0xffffffff8020289a, type=FUNC, size=0xaa)
[D] sys_call_table[238]: Symbol("__riscv_sys_migrate_pages" at 0xffffffff80202944, type=FUNC, size=0x1fe)
[D] sys_call_table[239]: Symbol("__riscv_sys_move_pages" at 0xffffffff80213112, type=FUNC, size=0x818)
[D] sys_call_table[240]: Symbol("__riscv_sys_rt_tgsigqueueinfo" at 0xffffffff80026af8, type=FUNC, size=0xa6)
[D] sys_call_table[241]: Symbol("__riscv_sys_perf_event_open" at 0xffffffff8017afa2, type=FUNC, size=0x20)
[D] sys_call_table[242]: Symbol("__riscv_sys_accept4" at 0xffffffff806c00ba, type=FUNC, size=0x1e)
[D] sys_call_table[243]: Symbol("__riscv_sys_recvmmsg" at 0xffffffff806c13ce, type=FUNC, size=0xbe)
[D] sys_call_table[244]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[245]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[246]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[247]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[248]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[249]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[250]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[251]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[252]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[253]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[254]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[255]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[256]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[257]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[258]: Symbol("__riscv_sys_riscv_hwprobe" at 0xffffffff80005b7a, type=FUNC, size=0x214)
[D] sys_call_table[259]: Symbol("__riscv_sys_riscv_flush_icache" at 0xffffffff80005b52, type=FUNC, size=0x28)
[D] sys_call_table[260]: Symbol("__riscv_sys_wait4" at 0xffffffff8001955c, type=FUNC, size=0x1e)
[D] sys_call_table[261]: Symbol("__riscv_sys_prlimit64" at 0xffffffff8002a798, type=FUNC, size=0x23e)
[D] sys_call_table[262]: Symbol("__riscv_sys_fanotify_init" at 0xffffffff80275cae, type=FUNC, size=0x294)
[D] sys_call_table[263]: Symbol("__riscv_sys_fanotify_mark" at 0xffffffff80275f42, type=FUNC, size=0x20)
[D] sys_call_table[264]: Symbol("__riscv_sys_name_to_handle_at" at 0xffffffff8028ffb6, type=FUNC, size=0x20e)
[D] sys_call_table[265]: Symbol("__riscv_sys_open_by_handle_at" at 0xffffffff802901c4, type=FUNC, size=0x22)
[D] sys_call_table[266]: Symbol("__riscv_sys_clock_adjtime" at 0xffffffff800a8838, type=FUNC, size=0x1a)
[D] sys_call_table[267]: Symbol("__riscv_sys_syncfs" at 0xffffffff80260ef4, type=FUNC, size=0x90)
[D] sys_call_table[268]: Symbol("__riscv_sys_setns" at 0xffffffff800393a2, type=FUNC, size=0x53e)
[D] sys_call_table[269]: Symbol("__riscv_sys_sendmmsg" at 0xffffffff806c115c, type=FUNC, size=0x20)
[D] sys_call_table[270]: Symbol("__riscv_sys_process_vm_readv" at 0xffffffff801e2f42, type=FUNC, size=0x24)
[D] sys_call_table[271]: Symbol("__riscv_sys_process_vm_writev" at 0xffffffff801e2f66, type=FUNC, size=0x24)
[D] sys_call_table[272]: Symbol("__riscv_sys_kcmp" at 0xffffffff800988e6, type=FUNC, size=0x446)
[D] sys_call_table[273]: Symbol("__riscv_sys_finit_module" at 0xffffffff8009638e, type=FUNC, size=0x2b6)
[D] sys_call_table[274]: Symbol("__riscv_sys_sched_setattr" at 0xffffffff8004749c, type=FUNC, size=0x342)
[D] sys_call_table[275]: Symbol("__riscv_sys_sched_getattr" at 0xffffffff80047902, type=FUNC, size=0x1b6)
[D] sys_call_table[276]: Symbol("__riscv_sys_renameat2" at 0xffffffff8023b94e, type=FUNC, size=0x94)
[D] sys_call_table[277]: Symbol("__riscv_sys_seccomp" at 0xffffffff800e1c44, type=FUNC, size=0x1c)
[D] sys_call_table[278]: Symbol("__riscv_sys_getrandom" at 0xffffffff8059f460, type=FUNC, size=0xc4)
[D] sys_call_table[279]: Symbol("__riscv_sys_memfd_create" at 0xffffffff8022382e, type=FUNC, size=0x2fe)
[D] sys_call_table[280]: Symbol("__riscv_sys_bpf" at 0xffffffff8011ee80, type=FUNC, size=0x1e)
[D] sys_call_table[281]: Symbol("__riscv_sys_execveat" at 0xffffffff80231dfc, type=FUNC, size=0x4a)
[D] sys_call_table[282]: Symbol("__riscv_sys_userfaultfd" at 0xffffffff8027e1a0, type=FUNC, size=0x3e)
[D] sys_call_table[283]: Symbol("__riscv_sys_membarrier" at 0xffffffff8006a4dc, type=FUNC, size=0x29c)
[D] sys_call_table[284]: Symbol("__riscv_sys_mlock2" at 0xffffffff801cc5b2, type=FUNC, size=0x3c)
[D] sys_call_table[285]: Symbol("__riscv_sys_copy_file_range" at 0xffffffff80229fe6, type=FUNC, size=0x17c)
[D] sys_call_table[286]: Symbol("__riscv_sys_preadv2" at 0xffffffff80229388, type=FUNC, size=0x36)
[D] sys_call_table[287]: Symbol("__riscv_sys_pwritev2" at 0xffffffff80229470, type=FUNC, size=0x36)
[D] sys_call_table[288]: Symbol("__riscv_sys_pkey_mprotect" at 0xffffffff800386ca, type=FUNC, size=0x14)
[D] sys_call_table[289]: Symbol("__riscv_sys_pkey_alloc" at 0xffffffff800386de, type=FUNC, size=0x14)
[D] sys_call_table[290]: Symbol("__riscv_sys_pkey_free" at 0xffffffff800386f2, type=FUNC, size=0x14)
[D] sys_call_table[291]: Symbol("__riscv_sys_statx" at 0xffffffff8022f044, type=FUNC, size=0x7c)
[D] sys_call_table[292]: Symbol("__riscv_sys_io_pgetevents" at 0xffffffff802819b8, type=FUNC, size=0x11e)
[D] sys_call_table[293]: Symbol("__riscv_sys_rseq" at 0xffffffff801828c0, type=FUNC, size=0x2a2)
[D] sys_call_table[294]: Symbol("__riscv_sys_kexec_file_load" at 0xffffffff800bae10, type=FUNC, size=0x628)
[D] sys_call_table[295]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[296]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[297]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[298]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[299]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[300]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[301]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[302]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[303]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[304]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[305]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[306]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[307]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[308]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[309]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[310]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[311]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[312]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[313]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[314]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[315]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[316]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[317]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[318]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[319]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[320]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[321]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[322]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[323]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[324]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[325]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[326]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[327]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[328]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[329]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[330]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[331]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[332]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[333]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[334]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[335]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[336]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[337]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[338]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[339]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[340]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[341]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[342]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[343]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[344]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[345]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[346]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[347]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[348]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[349]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[350]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[351]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[352]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[353]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[354]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[355]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[356]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[357]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[358]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[359]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[360]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[361]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[362]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[363]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[364]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[365]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[366]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[367]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[368]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[369]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[370]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[371]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[372]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[373]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[374]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[375]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[376]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[377]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[378]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[379]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[380]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[381]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[382]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[383]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[384]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[385]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[386]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[387]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[388]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[389]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[390]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[391]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[392]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[393]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[394]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[395]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[396]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[397]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[398]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[399]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[400]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[401]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[402]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[403]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[404]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[405]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[406]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[407]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[408]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[409]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[410]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[411]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[412]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[413]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[414]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[415]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[416]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[417]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[418]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[419]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[420]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[421]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[422]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[423]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80005d8e, type=FUNC, size=0x14)
[D] sys_call_table[424]: Symbol("__riscv_sys_pidfd_send_signal" at 0xffffffff80026746, type=FUNC, size=0x1d8)
[D] sys_call_table[425]: Symbol("__riscv_sys_io_uring_setup" at 0xffffffff80450f6e, type=FUNC, size=0x7e)
[D] sys_call_table[426]: Symbol("__riscv_sys_io_uring_enter" at 0xffffffff80450550, type=FUNC, size=0x9fe)
[D] sys_call_table[427]: Symbol("__riscv_sys_io_uring_register" at 0xffffffff80450fec, type=FUNC, size=0x91a)
[D] sys_call_table[428]: Symbol("__riscv_sys_open_tree" at 0xffffffff8024fc2a, type=FUNC, size=0x2e8)
[D] sys_call_table[429]: Symbol("__riscv_sys_move_mount" at 0xffffffff8025122e, type=FUNC, size=0x320)
[D] sys_call_table[430]: Symbol("__riscv_sys_fsopen" at 0xffffffff802655ce, type=FUNC, size=0xfa)
[D] sys_call_table[431]: Symbol("__riscv_sys_fsconfig" at 0xffffffff80265802, type=FUNC, size=0x40e)
[D] sys_call_table[432]: Symbol("__riscv_sys_fsmount" at 0xffffffff80250f46, type=FUNC, size=0x2e8)
[D] sys_call_table[433]: Symbol("__riscv_sys_fspick" at 0xffffffff802656c8, type=FUNC, size=0x13a)
[D] sys_call_table[434]: Symbol("__riscv_sys_pidfd_open" at 0xffffffff8003453a, type=FUNC, size=0x88)
[D] sys_call_table[435]: Symbol("__riscv_sys_clone3" at 0xffffffff800128d4, type=FUNC, size=0x1a)
[D] sys_call_table[436]: Symbol("__riscv_sys_close_range" at 0xffffffff80226b84, type=FUNC, size=0x1c)
[D] sys_call_table[437]: Symbol("__riscv_sys_openat2" at 0xffffffff802268f0, type=FUNC, size=0xe0)
[D] sys_call_table[438]: Symbol("__riscv_sys_pidfd_getfd" at 0xffffffff800345c2, type=FUNC, size=0x160)
[D] sys_call_table[439]: Symbol("__riscv_sys_faccessat2" at 0xffffffff80225802, type=FUNC, size=0x1e)
[D] sys_call_table[440]: Symbol("__riscv_sys_process_madvise" at 0xffffffff801ecc2c, type=FUNC, size=0x20)
[D] sys_call_table[441]: Symbol("__riscv_sys_epoll_pwait2" at 0xffffffff80278350, type=FUNC, size=0xb2)
[D] sys_call_table[442]: Symbol("__riscv_sys_mount_setattr" at 0xffffffff80251a0e, type=FUNC, size=0x730)
[D] sys_call_table[443]: Symbol("__riscv_sys_quotactl_fd" at 0xffffffff8029c8e8, type=FUNC, size=0x1cc)
[D] sys_call_table[444]: Symbol("__riscv_sys_landlock_create_ruleset" at 0xffffffff804099d6, type=FUNC, size=0xf0)
[D] sys_call_table[445]: Symbol("__riscv_sys_landlock_add_rule" at 0xffffffff80409ac6, type=FUNC, size=0x192)
[D] sys_call_table[446]: Symbol("__riscv_sys_landlock_restrict_self" at 0xffffffff80409c58, type=FUNC, size=0xe8)
